Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-08-31 15:00:00	3361.150	3361.150	3360.810	3360.810	3348.210	3355.571	3360.741	8	61
2017-08-31 14:55:00	3359.270	3361.302	3358.494	3361.302	3347.852	3355.606	3360.743	65	65
2017-08-31 14:50:00	3359.079	3359.545	3358.094	3359.010	3347.553	3355.636	3360.769	63	64
2017-08-31 14:45:00	3359.583	3359.732	3357.593	3359.347	3347.298	3355.689	3360.761	65	65
2017-08-31 14:40:00	3361.244	3362.167	3358.637	3358.931	3347.081	3355.739	3360.775	65	65
2017-08-31 14:35:00	3359.537	3361.983	3359.069	3361.730	3346.892	3355.793	3360.793	63	64
2017-08-31 14:30:00	3356.120	3359.448	3355.385	3359.448	3346.707	3355.819	3360.794	65	65
2017-08-31 14:25:00	3354.953	3356.542	3354.953	3355.708	3346.637	3355.868	3360.796	65	65
2017-08-31 14:20:00	3355.280	3355.695	3354.356	3354.854	3346.750	3355.954	3360.814	65	65
2017-08-31 14:15:00	3355.547	3355.901	3354.021	3355.508	3346.932	3356.049	3360.832	64	65
2017-08-31 14:10:00	3354.110	3356.109	3353.743	3355.480	3347.153	3356.137	3360.836	65	65
2017-08-31 14:05:00	3354.048	3355.155	3353.339	3354.311	3347.294	3356.225	3360.836	65	61
2017-08-31 14:00:00	3353.515	3355.053	3352.754	3353.563	3347.412	3356.329	3360.824	64	57
2017-08-31 13:55:00	3350.101	3353.546	3349.939	3353.082	3347.535	3356.449	3360.830	64	53
2017-08-31 13:50:00	3349.970	3350.672	3349.049	3350.145	3347.651	3356.589	3360.844	65	49
2017-08-31 13:45:00	3346.969	3349.991	3346.969	3349.935	3347.906	3356.784	3360.873	65	45
2017-08-31 13:40:00	3348.677	3348.982	3347.006	3347.501	3348.254	3357.004	3360.914	63	41
2017-08-31 13:35:00	3350.302	3350.773	3348.107	3348.351	3348.592	3357.212	3360.974	65	37
2017-08-31 13:30:00	3349.572	3350.296	3348.643	3350.156	3348.854	3357.402	3361.059	65	33
2017-08-31 13:25:00	3350.351	3350.898	3349.234	3349.234	3349.123	3357.584	3361.170	64	29
2017-08-31 13:20:00	3351.172	3351.290	3349.915	3350.388	3349.393	3357.766	3361.286	65	25
2017-08-31 13:15:00	3346.154	3351.468	3346.154	3351.204	3349.542	3357.938	3361.378	65	21
2017-08-31 13:10:00	3347.228	3347.228	3345.776	3346.397	3349.816	3358.071	3361.453	65	17
2017-08-31 13:05:00	3344.638	3346.871	3344.327	3346.871	3350.333	3358.259	3361.564	64	13
