Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-06-30 15:00:00	3192.098	3192.427	3191.064	3192.427	3184.305	3182.691	3182.827	9	61
2017-06-30 14:55:00	3190.250	3192.239	3189.804	3192.239	3183.941	3182.599	3182.770	64	65
2017-06-30 14:50:00	3192.099	3192.705	3189.886	3189.938	3183.589	3182.509	3182.715	65	65
2017-06-30 14:45:00	3192.227	3193.059	3191.680	3192.075	3183.300	3182.441	3182.653	65	65
2017-06-30 14:40:00	3190.917	3192.630	3190.517	3192.222	3182.993	3182.353	3182.611	65	65
2017-06-30 14:35:00	3189.031	3190.761	3187.757	3190.747	3182.650	3182.262	3182.605	64	65
2017-06-30 14:30:00	3189.062	3190.228	3188.457	3188.457	3182.354	3182.187	3182.610	65	65
2017-06-30 14:25:00	3188.927	3189.583	3188.397	3189.108	3182.130	3182.134	3182.613	64	65
2017-06-30 14:20:00	3188.809	3190.017	3188.294	3188.468	3181.945	3182.075	3182.613	64	65
2017-06-30 14:15:00	3187.735	3189.434	3187.104	3189.243	3181.754	3182.023	3182.632	65	65
2017-06-30 14:10:00	3188.025	3189.760	3187.753	3188.409	3181.555	3181.962	3182.646	65	65
2017-06-30 14:05:00	3189.357	3189.357	3187.139	3188.134	3181.387	3181.910	3182.659	64	61
2017-06-30 14:00:00	3189.480	3192.056	3189.290	3189.828	3181.187	3181.855	3182.668	65	57
2017-06-30 13:55:00	3188.774	3190.432	3188.774	3189.104	3180.885	3181.800	3182.642	65	53
2017-06-30 13:50:00	3184.546	3189.914	3184.546	3189.546	3180.668	3181.724	3182.613	65	49
2017-06-30 13:45:00	3185.891	3185.891	3183.689	3184.372	3180.498	3181.625	3182.563	64	45
2017-06-30 13:40:00	3185.234	3186.083	3184.762	3184.847	3180.373	3181.576	3182.552	64	41
2017-06-30 13:35:00	3182.554	3185.746	3181.646	3184.752	3180.198	3181.517	3182.546	65	37
2017-06-30 13:30:00	3183.269	3184.566	3181.878	3181.878	3180.042	3181.438	3182.544	65	33
2017-06-30 13:25:00	3183.475	3184.195	3182.667	3182.979	3180.165	3181.381	3182.531	65	29
2017-06-30 13:20:00	3183.334	3184.580	3182.929	3183.373	3180.277	3181.315	3182.514	64	25
2017-06-30 13:15:00	3183.053	3184.828	3183.046	3183.046	3180.349	3181.237	3182.487	65	21
2017-06-30 13:10:00	3181.184	3183.482	3180.304	3182.437	3180.416	3181.191	3182.461	65	17
2017-06-30 13:05:00	3182.385	3182.714	3181.004	3181.613	3180.505	3181.175	3182.432	65	13
2017-06-30 13:00:00	3182.752	3182.915	3181.061	3181.856	3180.616	3181.139	3182.394	64	9
2017-06-30 12:55:00	3182.410	3182.410	3182.410	3182.410	3180.731	3181.114	3182.361	5	5
2017-06-30 12:50:00	3182.410	3182.410	3182.410	3182.410	3180.746	3181.087	3182.324	5	5
2017-06-30 12:45:00	3182.410	3182.410	3182.410	3182.410	3180.773	3181.068	3182.291	5	5
2017-06-30 12:40:00	3182.410	3182.410	3182.410	3182.410	3180.770	3181.058	3182.263	5	5
2017-06-30 12:35:00	3182.410	3182.410	3182.410	3182.410	3180.797	3181.065	3182.251	5	9
2017-06-30 12:30:00	3182.410	3182.410	3182.410	3182.410	3180.841	3181.088	3182.253	5	13
2017-06-30 12:25:00	3182.410	3182.410	3182.410	3182.410	3180.832	3181.123	3182.254	5	17
2017-06-30 12:20:00	3182.410	3182.410	3182.410	3182.410	3180.805	3181.117	3182.255	5	21
2017-06-30 12:15:00	3182.410	3182.410	3182.410	3182.410	3180.781	3181.063	3182.256	5	25
2017-06-30 12:10:00	3182.410	3182.410	3182.410	3182.410	3180.756	3181.003	3182.258	5	29
2017-06-30 12:05:00	3182.410	3182.410	3182.410	3182.410	3180.673	3180.958	3182.259	5	33
2017-06-30 12:00:00	3182.410	3182.410	3182.410	3182.410	3180.592	3180.884	3182.260	5	37
2017-06-30 11:55:00	3182.410	3182.410	3182.410	3182.410	3180.556	3180.792	3182.261	5	41
2017-06-30 11:50:00	3182.410	3182.410	3182.410	3182.410	3180.536	3180.700	3182.262	5	45
2017-06-30 11:45:00	3182.410	3182.410	3182.410	3182.410	3180.514	3180.615	3182.264	5	49
2017-06-30 11:40:00	3182.410	3182.410	3182.410	3182.410	3180.491	3180.506	3182.265	5	53
2017-06-30 11:35:00	3182.410	3182.410	3182.410	3182.410	3180.463	3180.424	3182.266	5	57
2017-06-30 11:30:00	3182.375	3182.410	3182.375	3182.410	3180.433	3180.370	3182.268	7	61
2017-06-30 11:25:00	3181.738	3182.865	3181.510	3182.596	3180.444	3180.311	3182.269	65	64
2017-06-30 11:20:00	3178.966	3182.196	3178.004	3181.633	3180.456	3180.234	3182.269	64	64
2017-06-30 11:15:00	3179.457	3180.351	3178.042	3178.042	3180.487	3180.164	3182.274	65	64
2017-06-30 11:10:00	3178.019	3180.495	3178.019	3179.628	3180.591	3180.188	3182.297	65	64
2017-06-30 11:05:00	3176.958	3178.964	3176.787	3178.964	3180.662	3180.207	3182.313	64	64
2017-06-30 11:00:00	3173.671	3177.861	3173.219	3176.889	3180.747	3180.269	3182.331	65	64
2017-06-30 10:55:00	3174.141	3175.066	3171.605	3173.009	3180.873	3180.344	3182.366	64	64
2017-06-30 10:50:00	3175.152	3175.736	3174.220	3174.220	3181.077	3180.436	3182.426	65	64
2017-06-30 10:45:00	3176.390	3176.886	3174.635	3174.635	3181.257	3180.521	3182.472	65	64
2017-06-30 10:40:00	3176.746	3177.265	3175.445	3175.510	3181.428	3180.575	3182.504	62	64
2017-06-30 10:35:00	3174.452	3176.934	3173.276	3176.717	3181.582	3180.627	3182.541	64	61
2017-06-30 10:30:00	3176.005	3177.116	3174.841	3175.076	3181.712	3180.691	3182.577	65	57
2017-06-30 10:25:00	3177.244	3177.328	3175.302	3175.945	3181.875	3180.769	3182.633	65	57
2017-06-30 10:20:00	3179.560	3181.211	3177.246	3177.246	3182.020	3180.874	3182.688	65	57
2017-06-30 10:15:00	3179.292	3180.501	3179.015	3179.893	3182.139	3180.962	3182.719	64	57
2017-06-30 10:10:00	3179.346	3180.611	3178.898	3178.908	3182.205	3181.029	3182.725	65	57
2017-06-30 10:05:00	3180.355	3181.134	3179.286	3179.286	3182.291	3181.117	3182.727	63	57
2017-06-30 10:00:00	3178.668	3180.490	3178.465	3180.013	3182.370	3181.226	3182.743	65	57
2017-06-30 09:55:00	3175.794	3178.673	3174.906	3178.124	3182.433	3181.335	3182.760	65	57
2017-06-30 09:50:00	3177.451	3178.395	3174.321	3174.710	3182.524	3181.482	3182.793	65	57
2017-06-30 09:45:00	3180.787	3181.472	3176.545	3178.263	3182.716	3181.663	3182.845	64	57
2017-06-30 09:40:00	3178.870	3183.137	3178.795	3181.042	3182.780	3181.808	3182.869	65	57
2017-06-30 09:35:00	3176.695	3178.432	3174.076	3178.107	3182.752	3181.926	3182.865	65	57
2017-06-30 09:30:00	3177.510	3177.510	3173.868	3176.105	3182.780	3182.073	3182.873	64	57
2017-06-30 09:25:00	3176.948	3176.948	3176.948	3176.948	3182.836	3182.240	3182.902	5	57
2017-06-29 15:00:00	3187.900	3188.063	3187.899	3188.063	3182.835	3182.399	3182.928	8	61
2017-06-29 14:55:00	3187.059	3188.577	3186.761	3188.577	3182.597	3182.447	3182.879	65	65
2017-06-29 14:50:00	3186.333	3187.215	3185.839	3186.981	3182.352	3182.489	3182.853	65	65
2017-06-29 14:45:00	3187.450	3187.450	3185.427	3186.392	3182.124	3182.547	3182.846	64	65
2017-06-29 14:40:00	3187.653	3187.992	3186.583	3186.855	3181.966	3182.612	3182.832	64	65
2017-06-29 14:35:00	3187.760	3188.296	3186.995	3187.168	3181.844	3182.671	3182.824	65	65
2017-06-29 14:30:00	3183.016	3188.665	3183.016	3187.641	3181.663	3182.728	3182.815	65	65
2017-06-29 14:25:00	3182.989	3183.745	3182.093	3183.132	3181.496	3182.779	3182.792	65	65
2017-06-29 14:20:00	3182.156	3183.806	3181.561	3183.745	3181.429	3182.876	3182.806	64	65
2017-06-29 14:15:00	3183.635	3183.647	3181.662	3182.250	3181.363	3182.967	3182.814	65	65
2017-06-29 14:10:00	3184.430	3184.972	3182.994	3183.765	3181.347	3183.073	3182.820	65	65
2017-06-29 14:05:00	3181.998	3184.636	3181.313	3184.636	3181.333	3183.163	3182.822	65	61
2017-06-29 14:00:00	3181.410	3182.079	3180.764	3181.975	3181.335	3183.240	3182.815	64	57
2017-06-29 13:55:00	3181.238	3181.755	3180.642	3181.062	3181.415	3183.314	3182.805	65	53
2017-06-29 13:50:00	3180.776	3181.892	3180.740	3181.163	3181.429	3183.373	3182.799	63	49
2017-06-29 13:45:00	3178.294	3181.175	3176.827	3181.175	3181.346	3183.397	3182.781	65	45
2017-06-29 13:40:00	3178.132	3179.131	3177.867	3178.272	3181.251	3183.365	3182.757	65	41
2017-06-29 13:35:00	3180.659	3180.769	3178.031	3178.361	3181.243	3183.383	3182.750	65	37
2017-06-29 13:30:00	3182.049	3182.049	3179.927	3180.606	3181.176	3183.393	3182.787	64	33
2017-06-29 13:25:00	3181.343	3182.041	3180.213	3181.417	3181.028	3183.364	3182.810	65	29
2017-06-29 13:20:00	3180.943	3181.789	3180.384	3181.325	3180.865	3183.316	3182.818	65	25
2017-06-29 13:15:00	3180.798	3181.514	3179.625	3181.265	3180.715	3183.306	3182.815	65	21
2017-06-29 13:10:00	3180.857	3181.562	3179.738	3180.966	3180.520	3183.295	3182.809	64	17
2017-06-29 13:05:00	3182.709	3182.899	3180.246	3180.914	3180.385	3183.287	3182.800	65	13
2017-06-29 13:00:00	3183.179	3184.055	3181.200	3182.965	3180.308	3183.248	3182.791	64	9
