Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-09-29 15:00:00	3349.230	3349.230	3348.943	3348.943	3347.928	3345.783	3344.632	8	61
2017-09-29 14:55:00	3346.449	3349.093	3346.449	3348.803	3347.944	3345.716	3344.600	64	65
2017-09-29 14:50:00	3344.768	3346.892	3343.984	3346.438	3347.957	3345.650	3344.560	65	65
2017-09-29 14:45:00	3346.023	3346.830	3344.081	3344.181	3348.038	3345.607	3344.537	65	65
2017-09-29 14:40:00	3345.895	3346.682	3345.250	3345.724	3348.128	3345.587	3344.521	65	65
2017-09-29 14:35:00	3346.730	3347.616	3345.823	3346.247	3348.221	3345.552	3344.510	64	65
2017-09-29 14:30:00	3346.010	3347.329	3345.387	3346.530	3348.305	3345.511	3344.497	65	65
2017-09-29 14:25:00	3347.703	3347.703	3345.365	3346.508	3348.400	3345.468	3344.473	65	65
2017-09-29 14:20:00	3347.120	3348.116	3346.625	3346.930	3348.515	3345.425	3344.438	65	65
2017-09-29 14:15:00	3345.179	3347.814	3345.028	3347.311	3348.657	3345.377	3344.400	64	65
2017-09-29 14:10:00	3343.873	3346.175	3343.673	3345.413	3348.844	3345.326	3344.353	65	65
2017-09-29 14:05:00	3345.414	3345.414	3343.537	3344.489	3349.055	3345.294	3344.296	65	61
2017-09-29 14:00:00	3347.332	3347.555	3345.057	3345.225	3349.143	3345.268	3344.250	65	57
2017-09-29 13:55:00	3346.945	3347.843	3346.525	3346.747	3349.168	3345.228	3344.198	63	53
2017-09-29 13:50:00	3348.106	3348.314	3346.536	3346.727	3349.198	3345.164	3344.144	65	49
2017-09-29 13:45:00	3346.872	3348.772	3346.235	3348.772	3349.208	3345.104	3344.099	65	45
2017-09-29 13:40:00	3346.929	3347.464	3345.613	3346.712	3349.162	3344.993	3344.055	64	41
2017-09-29 13:35:00	3347.568	3348.368	3346.435	3346.808	3349.113	3344.894	3344.016	65	37
2017-09-29 13:30:00	3347.836	3348.668	3346.747	3347.974	3348.983	3344.805	3343.974	65	33
2017-09-29 13:25:00	3350.131	3350.465	3347.691	3347.886	3348.817	3344.722	3343.926	65	29
2017-09-29 13:20:00	3351.287	3352.359	3350.011	3350.011	3348.646	3344.641	3343.868	64	25
2017-09-29 13:15:00	3350.111	3351.879	3349.077	3351.271	3348.397	3344.521	3343.808	65	21
2017-09-29 13:10:00	3349.875	3350.553	3349.322	3349.455	3348.128	3344.390	3343.749	65	17
2017-09-29 13:05:00	3350.082	3351.247	3349.860	3350.469	3347.939	3344.298	3343.698	65	13
2017-09-29 13:00:00	3348.351	3351.119	3348.351	3350.457	3347.683	3344.191	3343.649	64	9
2017-09-29 12:55:00	3348.144	3348.144	3348.144	3348.144	3347.443	3344.073	3343.608	5	5
2017-09-29 12:50:00	3348.144	3348.144	3348.144	3348.144	3347.280	3343.970	3343.584	5	5
2017-09-29 12:45:00	3348.144	3348.144	3348.144	3348.144	3347.119	3343.893	3343.561	5	5
2017-09-29 12:40:00	3348.144	3348.144	3348.144	3348.144	3346.934	3343.807	3343.542	5	5
2017-09-29 12:35:00	3348.144	3348.144	3348.144	3348.144	3346.786	3343.715	3343.521	5	9
2017-09-29 12:30:00	3348.144	3348.144	3348.144	3348.144	3346.665	3343.620	3343.500	5	13
2017-09-29 12:25:00	3348.144	3348.144	3348.144	3348.144	3346.555	3343.529	3343.479	5	17
2017-09-29 12:20:00	3348.144	3348.144	3348.144	3348.144	3346.413	3343.456	3343.458	5	21
2017-09-29 12:15:00	3348.144	3348.144	3348.144	3348.144	3346.212	3343.406	3343.436	5	25
2017-09-29 12:10:00	3348.144	3348.144	3348.144	3348.144	3346.029	3343.339	3343.415	5	29
2017-09-29 12:05:00	3348.144	3348.144	3348.144	3348.144	3345.845	3343.301	3343.394	5	33
2017-09-29 12:00:00	3348.144	3348.144	3348.144	3348.144	3345.651	3343.257	3343.373	5	37
2017-09-29 11:55:00	3348.144	3348.144	3348.144	3348.144	3345.460	3343.229	3343.352	5	41
2017-09-29 11:50:00	3348.144	3348.144	3348.144	3348.144	3345.280	3343.203	3343.330	5	45
2017-09-29 11:45:00	3348.144	3348.144	3348.144	3348.144	3345.119	3343.156	3343.309	5	49
2017-09-29 11:40:00	3348.144	3348.144	3348.144	3348.144	3344.965	3343.114	3343.288	5	53
2017-09-29 11:35:00	3348.144	3348.144	3348.144	3348.144	3344.844	3343.071	3343.267	5	57
2017-09-29 11:30:00	3348.081	3348.144	3348.081	3348.144	3344.733	3343.045	3343.246	7	61
2017-09-29 11:25:00	3348.784	3349.383	3347.477	3347.698	3344.608	3343.015	3343.224	64	65
2017-09-29 11:20:00	3349.766	3350.070	3348.544	3348.847	3344.498	3342.991	3343.205	64	65
2017-09-29 11:15:00	3347.941	3349.927	3347.941	3349.927	3344.365	3342.967	3343.181	65	65
2017-09-29 11:10:00	3348.301	3348.301	3345.968	3348.150	3344.210	3342.958	3343.151	65	65
2017-09-29 11:05:00	3349.972	3350.275	3347.485	3348.270	3344.091	3342.962	3343.129	64	65
2017-09-29 11:00:00	3350.585	3351.063	3349.255	3350.345	3343.969	3342.961	3343.105	65	65
2017-09-29 10:55:00	3349.834	3351.591	3349.047	3350.524	3343.806	3342.949	3343.071	65	65
2017-09-29 10:50:00	3349.791	3350.268	3348.617	3349.745	3343.639	3342.929	3343.037	65	65
2017-09-29 10:45:00	3350.442	3350.796	3349.371	3349.470	3343.488	3342.917	3343.003	64	65
2017-09-29 10:40:00	3348.782	3350.897	3348.714	3350.493	3343.343	3342.913	3342.964	65	65
2017-09-29 10:35:00	3350.008	3350.041	3348.389	3348.698	3343.176	3342.875	3342.916	65	61
2017-09-29 10:30:00	3350.480	3351.716	3349.284	3350.374	3343.046	3342.824	3342.876	65	57
2017-09-29 10:25:00	3351.276	3352.081	3350.118	3350.430	3342.882	3342.764	3342.817	64	57
2017-09-29 10:20:00	3352.890	3353.255	3350.381	3351.250	3342.718	3342.692	3342.766	65	57
2017-09-29 10:15:00	3353.702	3354.242	3352.292	3352.292	3342.536	3342.623	3342.717	65	57
2017-09-29 10:10:00	3356.267	3356.767	3352.751	3354.026	3342.334	3342.560	3342.672	64	57
2017-09-29 10:05:00	3356.114	3356.912	3355.216	3356.659	3342.097	3342.480	3342.615	65	57
2017-09-29 10:00:00	3348.949	3355.966	3348.949	3355.966	3341.808	3342.368	3342.544	64	57
2017-09-29 09:55:00	3347.278	3349.106	3346.607	3348.895	3341.532	3342.257	3342.484	65	57
2017-09-29 09:50:00	3348.772	3349.107	3346.487	3346.487	3341.393	3342.214	3342.450	64	57
2017-09-29 09:45:00	3347.463	3348.497	3346.946	3348.195	3341.286	3342.196	3342.412	65	57
2017-09-29 09:40:00	3346.861	3348.502	3346.028	3347.274	3341.130	3342.161	3342.364	65	57
2017-09-29 09:35:00	3344.960	3347.912	3344.089	3346.427	3340.999	3342.135	3342.304	65	57
2017-09-29 09:30:00	3340.917	3344.634	3340.655	3344.301	3340.825	3342.118	3342.277	64	57
2017-09-29 09:25:00	3340.311	3340.311	3340.311	3340.311	3340.674	3342.122	3342.259	5	57
2017-09-28 15:00:00	3339.795	3340.115	3339.642	3339.642	3340.627	3342.165	3342.250	8	61
2017-09-28 14:55:00	3337.771	3340.886	3336.764	3339.375	3340.626	3342.216	3342.271	64	65
2017-09-28 14:50:00	3338.316	3338.912	3337.329	3337.517	3340.636	3342.269	3342.301	65	65
2017-09-28 14:45:00	3339.755	3340.412	3337.398	3337.852	3340.645	3342.340	3342.337	65	65
2017-09-28 14:40:00	3337.612	3340.314	3336.911	3340.017	3340.652	3342.408	3342.329	64	65
2017-09-28 14:35:00	3338.803	3339.250	3337.659	3337.659	3340.656	3342.455	3342.337	64	65
2017-09-28 14:30:00	3339.210	3339.916	3336.884	3338.419	3340.699	3342.525	3342.354	65	65
2017-09-28 14:25:00	3340.043	3341.005	3339.329	3340.027	3340.703	3342.588	3342.369	65	65
2017-09-28 14:20:00	3339.004	3340.732	3339.002	3340.106	3340.659	3342.635	3342.350	64	65
2017-09-28 14:15:00	3340.122	3340.935	3338.629	3338.888	3340.667	3342.680	3342.360	64	65
2017-09-28 14:10:00	3341.621	3342.115	3340.037	3340.703	3340.679	3342.738	3342.363	65	65
2017-09-28 14:05:00	3342.842	3343.395	3341.559	3342.091	3340.644	3342.778	3342.375	65	61
2017-09-28 14:00:00	3340.745	3343.362	3340.516	3342.670	3340.575	3342.806	3342.379	64	57
2017-09-28 13:55:00	3338.517	3341.347	3338.517	3341.051	3340.504	3342.824	3342.364	65	53
2017-09-28 13:50:00	3338.873	3339.195	3338.032	3338.067	3340.499	3342.866	3342.356	65	49
2017-09-28 13:45:00	3339.037	3340.403	3338.629	3339.000	3340.600	3342.926	3342.368	65	45
2017-09-28 13:40:00	3338.271	3339.714	3337.604	3338.940	3340.649	3342.982	3342.379	64	41
2017-09-28 13:35:00	3338.413	3338.778	3337.619	3338.473	3340.756	3343.026	3342.388	65	37
2017-09-28 13:30:00	3339.455	3340.077	3337.978	3338.596	3340.864	3343.087	3342.399	65	33
2017-09-28 13:25:00	3340.085	3340.695	3339.136	3339.136	3340.997	3343.141	3342.411	65	29
2017-09-28 13:20:00	3340.580	3340.623	3339.520	3340.093	3341.125	3343.187	3342.430	64	25
2017-09-28 13:15:00	3341.763	3341.980	3340.362	3340.462	3341.194	3343.224	3342.437	65	21
2017-09-28 13:10:00	3342.450	3342.809	3341.002	3342.071	3341.263	3343.266	3342.433	65	17
2017-09-28 13:05:00	3341.920	3342.717	3340.953	3342.585	3341.298	3343.298	3342.426	65	13
2017-09-28 13:00:00	3341.886	3343.238	3341.611	3341.927	3341.356	3343.310	3342.415	64	9
2017-09-28 12:55:00	3342.186	3342.186	3342.186	3342.186	3341.421	3343.314	3342.401	5	5
