Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-09-29 15:00:00	1988.492	1988.492	1988.492	1988.492	1985.557	1982.973	1975.945	0	0
2017-09-29 14:55:00	1987.053	1987.965	1987.053	1987.931	1985.432	1982.887	1975.780	0	0
2017-09-29 14:50:00	1986.551	1987.070	1986.338	1987.058	1985.204	1982.789	1975.637	0	0
2017-09-29 14:45:00	1985.704	1986.609	1985.642	1986.524	1984.959	1982.709	1975.495	0	0
2017-09-29 14:40:00	1986.139	1986.273	1985.623	1985.674	1984.721	1982.619	1975.355	0	0
2017-09-29 14:35:00	1985.127	1986.275	1985.114	1986.178	1984.518	1982.555	1975.245	0	0
2017-09-29 14:30:00	1984.365	1985.151	1984.227	1985.151	1984.341	1982.486	1975.141	0	0
2017-09-29 14:25:00	1984.430	1984.649	1984.316	1984.369	1984.226	1982.422	1975.048	0	0
2017-09-29 14:20:00	1984.236	1984.686	1984.172	1984.460	1984.115	1982.367	1974.935	0	0
2017-09-29 14:15:00	1983.236	1984.198	1983.007	1984.198	1984.001	1982.310	1974.832	0	0
2017-09-29 14:10:00	1981.199	1983.207	1981.112	1983.207	1983.943	1982.267	1974.730	0	0
2017-09-29 14:05:00	1981.941	1981.941	1981.115	1981.194	1983.920	1982.229	1974.632	0	0
2017-09-29 14:00:00	1983.713	1983.731	1981.918	1981.918	1983.922	1982.211	1974.548	0	0
2017-09-29 13:55:00	1984.268	1984.268	1983.616	1983.858	1983.924	1982.188	1974.476	0	0
2017-09-29 13:50:00	1984.869	1985.057	1984.259	1984.299	1983.908	1982.167	1974.407	0	0
2017-09-29 13:45:00	1983.550	1984.839	1983.405	1984.804	1983.892	1982.131	1974.346	0	0
2017-09-29 13:40:00	1984.347	1984.374	1983.483	1983.590	1983.849	1982.085	1974.271	0	0
2017-09-29 13:35:00	1984.824	1984.824	1984.302	1984.302	1983.793	1982.055	1974.212	0	0
2017-09-29 13:30:00	1984.854	1984.860	1984.296	1984.707	1983.738	1982.015	1974.152	0	0
2017-09-29 13:25:00	1986.558	1986.633	1984.874	1984.874	1983.678	1981.967	1974.104	0	0
2017-09-29 13:20:00	1985.880	1986.759	1985.783	1986.553	1983.590	1981.916	1974.060	0	0
2017-09-29 13:15:00	1985.170	1985.834	1985.153	1985.777	1983.478	1981.834	1974.013	0	0
2017-09-29 13:10:00	1985.930	1985.998	1985.134	1985.175	1983.402	1981.742	1973.968	0	0
2017-09-29 13:05:00	1986.270	1986.443	1985.947	1985.947	1983.341	1981.652	1973.934	0	0
2017-09-29 13:00:00	1985.877	1986.447	1985.877	1986.192	1983.264	1981.546	1973.902	0	0
2017-09-29 12:55:00	1985.633	1985.633	1985.633	1985.633	1983.203	1981.441	1973.863	0	0
2017-09-29 11:30:00	1985.599	1985.599	1985.599	1985.599	1983.164	1981.359	1973.821	0	0
2017-09-29 11:25:00	1985.626	1985.894	1985.433	1985.605	1983.129	1981.277	1973.784	0	0
2017-09-29 11:20:00	1985.416	1985.821	1985.384	1985.589	1983.088	1981.186	1973.749	0	0
2017-09-29 11:15:00	1985.154	1985.518	1985.040	1985.412	1983.046	1981.092	1973.714	0	0
2017-09-29 11:10:00	1985.371	1985.371	1984.532	1985.261	1983.008	1980.990	1973.686	0	0
2017-09-29 11:05:00	1986.941	1986.941	1985.382	1985.394	1982.967	1980.889	1973.660	0	0
2017-09-29 11:00:00	1987.385	1987.385	1986.877	1986.909	1982.908	1980.787	1973.634	0	0
2017-09-29 10:55:00	1986.470	1987.471	1986.470	1987.432	1982.811	1980.663	1973.600	0	0
2017-09-29 10:50:00	1986.526	1986.548	1986.019	1986.379	1982.672	1980.542	1973.563	0	0
2017-09-29 10:45:00	1986.699	1987.077	1986.556	1986.625	1982.545	1980.427	1973.531	0	0
2017-09-29 10:40:00	1985.453	1986.690	1985.431	1986.648	1982.413	1980.303	1973.497	0	0
2017-09-29 10:35:00	1986.030	1986.046	1985.188	1985.451	1982.295	1980.176	1973.453	0	0
2017-09-29 10:30:00	1986.425	1986.634	1985.987	1985.987	1982.205	1980.070	1973.418	0	0
2017-09-29 10:25:00	1986.486	1986.694	1986.337	1986.409	1982.078	1979.957	1973.387	0	0
2017-09-29 10:20:00	1986.865	1986.957	1986.089	1986.393	1981.937	1979.824	1973.350	0	0
2017-09-29 10:15:00	1986.746	1987.033	1986.560	1986.940	1981.817	1979.696	1973.326	0	0
2017-09-29 10:10:00	1988.208	1988.208	1986.723	1986.760	1981.674	1979.565	1973.300	0	0
2017-09-29 10:05:00	1988.995	1989.044	1988.156	1988.156	1981.504	1979.439	1973.279	0	0
2017-09-29 10:00:00	1985.140	1989.053	1985.140	1989.032	1981.290	1979.288	1973.242	0	0
2017-09-29 09:55:00	1984.323	1985.098	1983.901	1985.098	1981.083	1979.112	1973.195	0	0
2017-09-29 09:50:00	1985.769	1985.991	1984.333	1984.333	1980.951	1978.978	1973.172	0	0
2017-09-29 09:45:00	1985.081	1985.869	1984.879	1985.792	1980.809	1978.865	1973.165	0	0
2017-09-29 09:40:00	1983.528	1985.220	1983.501	1985.169	1980.633	1978.734	1973.145	0	0
2017-09-29 09:35:00	1982.141	1984.315	1982.087	1983.429	1980.476	1978.608	1973.132	0	0
2017-09-29 09:30:00	1978.141	1982.215	1978.141	1982.215	1980.389	1978.467	1973.133	0	0
2017-09-29 09:25:00	1976.463	1976.557	1976.463	1976.557	1980.342	1978.342	1973.146	0	0
2017-09-28 15:00:00	1974.783	1974.783	1974.783	1974.783	1980.375	1978.276	1973.189	0	0
2017-09-28 14:55:00	1975.400	1975.400	1974.654	1974.660	1980.459	1978.200	1973.250	0	0
2017-09-28 14:50:00	1977.247	1977.247	1975.476	1975.492	1980.517	1978.120	1973.305	0	0
2017-09-28 14:45:00	1979.425	1979.626	1977.341	1977.341	1980.592	1978.032	1973.346	0	0
2017-09-28 14:40:00	1978.874	1979.400	1978.309	1979.375	1980.631	1977.895	1973.381	0	0
2017-09-28 14:35:00	1978.754	1979.439	1978.754	1978.843	1980.618	1977.742	1973.412	0	0
2017-09-28 14:30:00	1981.283	1981.283	1978.428	1978.737	1980.618	1977.587	1973.430	0	0
2017-09-28 14:25:00	1982.081	1982.136	1981.337	1981.337	1980.619	1977.422	1973.466	0	0
2017-09-28 14:20:00	1981.232	1982.199	1981.129	1982.059	1980.591	1977.209	1973.489	0	0
2017-09-28 14:15:00	1982.045	1982.066	1981.180	1981.254	1980.538	1976.975	1973.521	0	0
2017-09-28 14:10:00	1983.066	1983.066	1982.008	1982.022	1980.500	1976.733	1973.556	0	0
2017-09-28 14:05:00	1983.511	1983.656	1982.979	1983.062	1980.452	1976.447	1973.587	0	0
2017-09-28 14:00:00	1982.755	1983.544	1982.755	1983.515	1980.426	1976.174	1973.607	0	0
2017-09-28 13:55:00	1980.844	1982.683	1980.717	1982.670	1980.370	1975.893	1973.631	0	0
2017-09-28 13:50:00	1981.516	1981.573	1980.705	1980.752	1980.321	1975.630	1973.660	0	0
