Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-08-31 15:00:00	1944.939	1944.939	1944.939	1944.939	1939.855	1938.890	1937.200	0	0
2017-08-31 14:55:00	1943.727	1944.626	1943.727	1944.626	1939.796	1938.776	1937.104	0	0
2017-08-31 14:50:00	1943.350	1943.807	1943.273	1943.807	1939.701	1938.674	1936.997	0	0
2017-08-31 14:45:00	1943.241	1943.448	1943.004	1943.293	1939.603	1938.584	1936.895	0	0
2017-08-31 14:40:00	1944.540	1944.631	1943.248	1943.248	1939.506	1938.462	1936.789	0	0
2017-08-31 14:35:00	1943.485	1944.571	1943.443	1944.568	1939.397	1938.350	1936.675	0	0
2017-08-31 14:30:00	1941.459	1943.490	1941.459	1943.490	1939.289	1938.222	1936.556	0	0
2017-08-31 14:25:00	1941.445	1941.675	1941.296	1941.571	1939.221	1938.097	1936.420	0	0
2017-08-31 14:20:00	1941.619	1941.702	1941.274	1941.429	1939.174	1937.979	1936.278	0	0
2017-08-31 14:15:00	1942.768	1942.934	1941.635	1941.642	1939.137	1937.875	1936.122	0	0
2017-08-31 14:10:00	1942.574	1942.905	1942.357	1942.805	1939.118	1937.796	1935.963	0	0
2017-08-31 14:05:00	1943.252	1943.279	1942.606	1942.615	1939.047	1937.718	1935.797	0	0
2017-08-31 14:00:00	1942.276	1943.569	1942.262	1943.201	1938.978	1937.659	1935.633	0	0
2017-08-31 13:55:00	1941.288	1942.219	1941.288	1942.193	1938.885	1937.586	1935.464	0	0
2017-08-31 13:50:00	1941.331	1941.475	1941.163	1941.247	1938.803	1937.514	1935.296	0	0
2017-08-31 13:45:00	1939.512	1941.323	1939.414	1941.323	1938.731	1937.460	1935.131	0	0
2017-08-31 13:40:00	1939.961	1939.961	1939.367	1939.485	1938.658	1937.394	1934.974	0	0
2017-08-31 13:35:00	1940.156	1940.615	1939.858	1939.867	1938.589	1937.318	1934.831	0	0
2017-08-31 13:30:00	1939.941	1940.154	1939.472	1940.110	1938.504	1937.252	1934.683	0	0
2017-08-31 13:25:00	1940.228	1940.290	1939.907	1939.966	1938.430	1937.188	1934.534	0	0
2017-08-31 13:20:00	1940.222	1940.338	1940.105	1940.235	1938.367	1937.118	1934.381	0	0
2017-08-31 13:15:00	1938.160	1940.280	1938.042	1940.237	1938.284	1937.031	1934.237	0	0
2017-08-31 13:10:00	1937.736	1938.188	1937.731	1938.089	1938.241	1936.955	1934.090	0	0
2017-08-31 13:05:00	1936.316	1937.778	1936.271	1937.752	1938.240	1936.899	1933.957	0	0
2017-08-31 13:00:00	1935.262	1936.481	1935.262	1936.399	1938.276	1936.858	1933.815	0	0
2017-08-31 12:55:00	1934.975	1934.975	1934.975	1934.975	1938.345	1936.845	1933.678	0	0
2017-08-31 11:30:00	1934.926	1934.926	1934.926	1934.926	1938.430	1936.862	1933.547	0	0
2017-08-31 11:25:00	1934.269	1934.933	1934.179	1934.922	1938.508	1936.873	1933.422	0	0
2017-08-31 11:20:00	1936.517	1936.668	1934.338	1934.395	1938.564	1936.875	1933.286	0	0
2017-08-31 11:15:00	1936.718	1936.787	1935.775	1936.581	1938.631	1936.878	1933.151	0	0
2017-08-31 11:10:00	1938.044	1938.068	1936.729	1936.729	1938.653	1936.854	1933.004	0	0
2017-08-31 11:05:00	1936.584	1938.087	1936.376	1938.025	1938.676	1936.828	1932.855	0	0
2017-08-31 11:00:00	1936.944	1936.976	1936.500	1936.636	1938.687	1936.790	1932.690	0	0
2017-08-31 10:55:00	1935.282	1936.906	1935.139	1936.906	1938.759	1936.768	1932.526	0	0
2017-08-31 10:50:00	1937.631	1937.631	1934.999	1935.363	1938.827	1936.762	1932.348	0	0
2017-08-31 10:45:00	1936.567	1937.925	1936.526	1937.568	1938.883	1936.778	1932.177	0	0
2017-08-31 10:40:00	1937.358	1937.541	1935.938	1936.510	1938.900	1936.765	1931.995	0	0
2017-08-31 10:35:00	1936.599	1938.182	1936.599	1937.475	1938.931	1936.750	1931.806	0	0
2017-08-31 10:30:00	1937.056	1937.665	1935.694	1936.582	1938.933	1936.735	1931.609	0	0
2017-08-31 10:25:00	1937.213	1937.289	1936.248	1937.086	1938.950	1936.725	1931.416	0	0
2017-08-31 10:20:00	1939.737	1939.737	1937.265	1937.265	1938.919	1936.710	1931.226	0	0
2017-08-31 10:15:00	1941.094	1941.155	1939.763	1939.763	1938.896	1936.684	1931.041	0	0
2017-08-31 10:10:00	1942.340	1942.350	1941.021	1941.097	1938.855	1936.648	1930.833	0	0
2017-08-31 10:05:00	1941.370	1942.416	1941.370	1942.256	1938.766	1936.595	1930.613	0	0
2017-08-31 10:00:00	1940.833	1941.401	1940.390	1941.360	1938.667	1936.545	1930.381	0	0
2017-08-31 09:55:00	1941.645	1941.645	1940.863	1940.885	1938.586	1936.515	1930.151	0	0
2017-08-31 09:50:00	1940.733	1942.067	1940.733	1941.701	1938.534	1936.487	1929.926	0	0
2017-08-31 09:45:00	1941.966	1941.966	1940.296	1940.693	1938.381	1936.445	1929.708	0	0
2017-08-31 09:40:00	1942.973	1943.028	1941.959	1941.959	1938.247	1936.401	1929.501	0	0
2017-08-31 09:35:00	1942.046	1943.025	1940.881	1942.943	1938.082	1936.354	1929.291	0	0
2017-08-31 09:30:00	1940.363	1942.280	1940.363	1941.981	1937.925	1936.287	1929.076	0	0
2017-08-31 09:25:00	1939.771	1939.909	1939.771	1939.909	1937.757	1936.248	1928.855	0	0
2017-08-30 15:00:00	1938.900	1938.900	1938.900	1938.900	1937.646	1936.215	1928.647	0	0
2017-08-30 14:55:00	1937.811	1938.467	1937.714	1938.467	1937.565	1936.191	1928.447	0	0
2017-08-30 14:50:00	1939.124	1939.161	1937.740	1937.754	1937.417	1936.201	1928.248	0	0
2017-08-30 14:45:00	1940.001	1940.177	1939.164	1939.204	1937.303	1936.188	1928.060	0	0
2017-08-30 14:40:00	1939.238	1940.166	1939.186	1940.056	1937.155	1936.151	1927.855	0	0
2017-08-30 14:35:00	1939.494	1939.542	1939.149	1939.218	1936.974	1936.118	1927.627	0	0
2017-08-30 14:30:00	1940.634	1940.776	1939.538	1939.609	1936.784	1936.089	1927.401	0	0
2017-08-30 14:25:00	1939.260	1940.799	1939.260	1940.675	1936.613	1936.050	1927.170	0	0
2017-08-30 14:20:00	1939.037	1939.322	1938.844	1939.281	1936.475	1935.995	1926.918	0	0
2017-08-30 14:15:00	1938.557	1939.267	1938.509	1939.161	1936.389	1935.949	1926.674	0	0
2017-08-30 14:10:00	1938.128	1938.565	1938.017	1938.516	1936.341	1935.896	1926.431	0	0
2017-08-30 14:05:00	1937.607	1938.182	1937.581	1938.123	1936.287	1935.850	1926.188	0	0
2017-08-30 14:00:00	1937.764	1938.001	1937.557	1937.617	1936.224	1935.801	1925.950	0	0
2017-08-30 13:55:00	1936.028	1937.689	1935.931	1937.689	1936.189	1935.775	1925.718	0	0
2017-08-30 13:50:00	1935.697	1936.015	1935.560	1936.015	1936.130	1935.754	1925.472	0	0
2017-08-30 13:45:00	1936.532	1936.532	1935.584	1935.618	1936.048	1935.747	1925.242	0	0
2017-08-30 13:40:00	1936.710	1936.834	1936.451	1936.451	1936.000	1935.755	1925.027	0	0
2017-08-30 13:35:00	1936.029	1936.787	1935.540	1936.787	1935.947	1935.765	1924.805	0	0
2017-08-30 13:30:00	1938.059	1938.162	1936.089	1936.089	1935.869	1935.804	1924.573	0	0
2017-08-30 13:25:00	1938.050	1938.296	1937.944	1938.075	1935.778	1935.871	1924.364	0	0
2017-08-30 13:20:00	1939.529	1939.554	1938.060	1938.060	1935.669	1935.920	1924.154	0	0
2017-08-30 13:15:00	1939.807	1939.959	1939.489	1939.525	1935.558	1935.959	1923.939	0	0
2017-08-30 13:10:00	1939.270	1939.979	1939.270	1939.882	1935.440	1935.976	1923.735	0	0
2017-08-30 13:05:00	1938.838	1939.284	1938.594	1939.224	1935.345	1936.003	1923.531	0	0
2017-08-30 13:00:00	1938.011	1938.897	1938.011	1938.828	1935.293	1936.025	1923.329	0	0
2017-08-30 12:55:00	1937.736	1937.736	1937.736	1937.736	1935.237	1936.040	1923.127	0	0
2017-08-30 11:30:00	1937.709	1937.709	1937.709	1937.709	1935.186	1936.057	1922.927	0	0
2017-08-30 11:25:00	1937.849	1938.024	1937.586	1937.705	1935.126	1936.083	1922.726	0	0
2017-08-30 11:20:00	1938.556	1938.615	1937.832	1937.848	1935.056	1936.110	1922.530	0	0
2017-08-30 11:15:00	1940.161	1940.249	1938.591	1938.591	1934.981	1936.126	1922.329	0	0
2017-08-30 11:10:00	1940.275	1940.625	1940.111	1940.216	1934.892	1936.114	1922.127	0	0
2017-08-30 11:05:00	1938.171	1940.367	1938.139	1940.329	1934.778	1936.084	1921.918	0	0
2017-08-30 11:00:00	1938.400	1938.506	1938.139	1938.184	1934.696	1936.053	1921.715	0	0
2017-08-30 10:55:00	1938.132	1938.727	1938.108	1938.380	1934.673	1936.036	1921.528	0	0
2017-08-30 10:50:00	1937.554	1938.119	1937.525	1938.094	1934.630	1936.009	1921.341	0	0
2017-08-30 10:45:00	1937.438	1937.735	1937.168	1937.569	1934.569	1935.977	1921.157	0	0
2017-08-30 10:40:00	1935.543	1937.483	1935.533	1937.405	1934.537	1935.939	1920.974	0	0
2017-08-30 10:35:00	1935.962	1935.962	1935.078	1935.575	1934.501	1935.914	1920.792	0	0
2017-08-30 10:30:00	1937.752	1937.835	1935.947	1936.077	1934.501	1935.898	1920.623	0	0
2017-08-30 10:25:00	1936.528	1937.832	1936.418	1937.743	1934.472	1935.870	1920.454	0	0
2017-08-30 10:20:00	1937.324	1937.989	1936.574	1936.615	1934.441	1935.817	1920.281	0	0
2017-08-30 10:15:00	1937.286	1937.408	1936.532	1937.296	1934.424	1935.769	1920.108	0	0
2017-08-30 10:10:00	1938.281	1938.508	1937.342	1937.359	1934.424	1935.744	1919.923	0	0
