Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-03-31 15:00:00	1986.473	1986.473	1986.473	1986.473	1983.560	1986.612	2008.916	216876	309038
2017-03-31 14:55:00	1985.770	1986.359	1985.734	1986.359	1983.556	1986.812	2009.183	260910	311532
2017-03-31 14:50:00	1985.298	1985.775	1985.294	1985.751	1983.413	1987.032	2009.459	470310	310551
2017-03-31 14:45:00	1983.780	1985.275	1983.728	1985.275	1983.290	1987.325	2009.736	416693	293381
2017-03-31 14:40:00	1981.667	1983.743	1981.358	1983.691	1983.182	1987.623	2010.007	368187	280043
2017-03-31 14:35:00	1981.182	1982.147	1981.182	1981.693	1983.105	1987.980	2010.282	314305	274893
2017-03-31 14:30:00	1979.634	1981.260	1979.630	1981.260	1983.091	1988.359	2010.554	285956	270273
2017-03-31 14:25:00	1977.632	1979.728	1977.599	1979.633	1983.173	1988.755	2010.835	259975	264607
2017-03-31 14:20:00	1976.387	1977.620	1975.266	1977.620	1983.356	1989.186	2011.126	401700	260273
2017-03-31 14:15:00	1981.260	1981.260	1976.461	1976.461	1983.526	1989.655	2011.435	400695	245238
2017-03-31 14:10:00	1981.584	1981.584	1981.217	1981.285	1983.687	1990.186	2011.750	292823	234553
2017-03-31 14:05:00	1982.162	1982.298	1981.535	1981.535	1983.724	1990.675	2012.040	239252	215130
2017-03-31 14:00:00	1981.854	1982.151	1981.506	1982.151	1983.725	1991.156	2012.334	237082	199199
2017-03-31 13:55:00	1983.255	1983.308	1981.916	1981.962	1983.777	1991.627	2012.631	241373	200791
2017-03-31 13:50:00	1984.075	1984.249	1983.274	1983.274	1983.811	1992.082	2012.927	229440	201752
2017-03-31 13:45:00	1982.918	1984.182	1982.918	1984.144	1983.953	1992.530	2013.217	254277	202063
2017-03-31 13:40:00	1980.203	1982.868	1980.089	1982.862	1984.069	1992.999	2013.492	246190	200056
2017-03-31 13:35:00	1980.891	1980.930	1980.030	1980.113	1984.239	1993.485	2013.771	212771	201132
2017-03-31 13:30:00	1980.281	1981.237	1980.281	1980.965	1984.492	1993.991	2014.068	216621	201988
