Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-01-26 15:00:00	1917.317	1917.317	1917.317	1917.317	1913.574	1908.323	1903.998	219113	230301
2017-01-26 14:55:00	1916.791	1917.077	1916.639	1917.077	1913.414	1908.104	1903.934	239068	225240
2017-01-26 14:50:00	1916.234	1916.787	1916.070	1916.787	1913.206	1907.860	1903.866	436526	220017
2017-01-26 14:45:00	1915.039	1916.171	1915.038	1916.171	1912.951	1907.642	1903.783	332600	202296
2017-01-26 14:40:00	1914.852	1915.125	1914.841	1915.069	1912.701	1907.425	1903.707	266159	189960
2017-01-26 14:35:00	1914.195	1914.871	1914.173	1914.871	1912.465	1907.238	1903.627	220667	180839
2017-01-26 14:30:00	1914.167	1914.562	1914.150	1914.231	1912.226	1907.051	1903.529	216283	173585
2017-01-26 14:25:00	1915.230	1915.230	1913.721	1914.082	1912.010	1906.868	1903.432	228695	166511
2017-01-26 14:20:00	1916.305	1916.558	1915.292	1915.292	1911.812	1906.694	1903.303	202922	157924
2017-01-26 14:15:00	1915.268	1916.368	1915.256	1916.368	1911.626	1906.518	1903.156	212863	150199
2017-01-26 14:10:00	1915.308	1915.348	1915.188	1915.348	1911.404	1906.344	1903.002	170313	144021
2017-01-26 14:05:00	1914.836	1915.286	1914.744	1915.233	1911.182	1906.193	1902.851	193524	132739
2017-01-26 14:00:00	1915.293	1915.339	1914.806	1914.862	1910.958	1906.015	1902.704	155847	119858
2017-01-26 13:55:00	1914.561	1915.375	1914.561	1915.318	1910.736	1905.837	1902.560	217968	117267
2017-01-26 13:50:00	1914.202	1914.587	1914.117	1914.585	1910.509	1905.645	1902.417	141960	110597
2017-01-26 13:45:00	1914.257	1914.338	1914.085	1914.243	1910.287	1905.469	1902.272	143198	110008
2017-01-26 13:40:00	1913.605	1914.294	1913.516	1914.261	1910.049	1905.301	1902.115	160731	110183
2017-01-26 13:35:00	1912.805	1913.626	1912.749	1913.613	1909.785	1905.159	1901.967	170714	108547
2017-01-26 13:30:00	1912.511	1912.849	1912.317	1912.849	1909.542	1905.029	1901.825	147549	106912
2017-01-26 13:25:00	1912.393	1912.493	1912.200	1912.455	1909.351	1904.898	1901.688	129347	107510
2017-01-26 13:20:00	1912.877	1913.015	1912.490	1912.502	1909.156	1904.765	1901.551	111860	110125
2017-01-26 13:15:00	1913.146	1913.260	1912.817	1912.970	1908.956	1904.637	1901.421	110169	114744
2017-01-26 13:10:00	1913.034	1913.216	1912.778	1913.174	1908.765	1904.511	1901.296	99889	119836
2017-01-26 13:05:00	1912.690	1912.994	1912.594	1912.994	1908.560	1904.382	1901.175	87050	125872
2017-01-26 13:00:00	1912.645	1912.896	1912.498	1912.723	1908.374	1904.244	1901.047	120203	134140
2017-01-26 12:55:00	1912.357	1912.357	1912.357	1912.357	1908.206	1904.098	1900.920	1083	140046
2017-01-26 11:30:00	1912.310	1912.310	1912.310	1912.310	1908.052	1903.955	1900.790	302	155282
2017-01-26 11:25:00	1911.656	1912.305	1911.593	1912.305	1907.910	1903.815	1900.661	116979	171961
2017-01-26 11:20:00	1910.861	1911.727	1910.814	1911.585	1907.769	1903.676	1900.533	117925	180786
2017-01-26 11:15:00	1910.165	1910.809	1910.020	1910.802	1907.641	1903.545	1900.412	133124	190230
2017-01-26 11:10:00	1911.513	1911.566	1910.182	1910.184	1907.528	1903.425	1900.294	145819	199573
2017-01-26 11:05:00	1911.403	1911.669	1911.270	1911.536	1907.428	1903.312	1900.177	136199	210003
2017-01-26 11:00:00	1912.177	1912.263	1911.427	1911.454	1907.308	1903.185	1900.044	146185	222951
2017-01-26 10:55:00	1911.873	1912.312	1911.833	1912.229	1907.204	1903.049	1899.913	156515	233930
2017-01-26 10:50:00	1911.508	1911.844	1911.223	1911.844	1907.084	1902.896	1899.774	168566	246821
2017-01-26 10:45:00	1912.490	1912.604	1911.509	1911.509	1906.957	1902.739	1899.635	181145	262890
2017-01-26 10:40:00	1912.436	1912.568	1912.170	1912.526	1906.822	1902.564	1899.499	186552	283841
2017-01-26 10:35:00	1912.524	1912.735	1912.334	1912.406	1906.618	1902.391	1899.356	190431	276526
2017-01-26 10:30:00	1913.569	1913.569	1912.357	1912.565	1906.391	1902.220	1899.213	211075	276089
2017-01-26 10:25:00	1914.032	1914.066	1913.297	1913.543	1906.165	1902.063	1899.062	208787	276484
2017-01-26 10:20:00	1915.711	1915.737	1913.978	1914.101	1905.941	1901.906	1898.910	229633	289292
2017-01-26 10:15:00	1914.933	1916.024	1914.832	1915.734	1905.683	1901.731	1898.755	250473	294512
2017-01-26 10:10:00	1914.837	1915.049	1914.405	1914.933	1905.361	1901.537	1898.601	249360	295941
2017-01-26 10:05:00	1913.770	1915.047	1913.770	1914.872	1905.061	1901.349	1898.461	259588	294710
2017-01-26 10:00:00	1913.314	1913.814	1913.106	1913.814	1904.768	1901.187	1898.307	273262	291398
2017-01-26 09:55:00	1913.534	1913.660	1913.272	1913.404	1904.503	1901.043	1898.156	302271	287356
2017-01-26 09:50:00	1912.018	1913.667	1911.982	1913.545	1904.221	1900.911	1897.994	330423	280580
2017-01-26 09:45:00	1911.936	1912.363	1911.830	1912.044	1903.892	1900.783	1897.832	310868	270307
