Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-12-29 15:00:00	1899.344	1899.344	1899.344	1899.344	1892.245	1890.272	1887.769	0	0
2017-12-29 14:55:00	1898.562	1898.920	1898.493	1898.920	1892.059	1890.058	1887.690	0	0
2017-12-29 14:50:00	1897.490	1898.885	1897.450	1898.630	1891.841	1889.821	1887.626	0	0
2017-12-29 14:45:00	1896.089	1897.509	1896.089	1897.486	1891.615	1889.613	1887.559	0	0
2017-12-29 14:40:00	1895.028	1896.132	1894.766	1896.125	1891.402	1889.405	1887.497	0	0
2017-12-29 14:35:00	1895.066	1895.138	1894.639	1895.038	1891.211	1889.232	1887.412	0	0
2017-12-29 14:30:00	1895.859	1895.966	1894.965	1895.050	1891.028	1889.070	1887.328	0	0
2017-12-29 14:25:00	1893.675	1896.001	1893.524	1895.988	1890.870	1888.907	1887.261	0	0
2017-12-29 14:20:00	1892.622	1893.658	1892.503	1893.658	1890.711	1888.753	1887.191	0	0
2017-12-29 14:15:00	1891.862	1892.776	1891.756	1892.643	1890.644	1888.615	1887.143	0	0
2017-12-29 14:10:00	1893.079	1893.124	1891.788	1891.861	1890.554	1888.477	1887.098	0	0
2017-12-29 14:05:00	1893.402	1893.693	1893.061	1893.061	1890.471	1888.384	1887.056	0	0
2017-12-29 14:00:00	1892.341	1893.433	1892.299	1893.420	1890.326	1888.271	1887.011	0	0
2017-12-29 13:55:00	1891.144	1892.515	1891.136	1892.362	1890.163	1888.118	1886.963	0	0
2017-12-29 13:50:00	1891.004	1891.274	1890.924	1891.240	1890.052	1888.013	1886.904	0	0
2017-12-29 13:45:00	1889.562	1890.987	1889.540	1890.907	1890.002	1887.938	1886.852	0	0
2017-12-29 13:40:00	1888.028	1889.649	1887.990	1889.649	1889.971	1887.903	1886.797	0	0
2017-12-29 13:35:00	1889.155	1889.155	1887.408	1887.944	1889.958	1887.847	1886.759	0	0
2017-12-29 13:30:00	1890.526	1890.538	1889.214	1889.220	1889.964	1887.839	1886.725	0	0
2017-12-29 13:25:00	1890.945	1891.009	1890.517	1890.517	1889.972	1887.820	1886.680	0	0
2017-12-29 13:20:00	1890.943	1891.156	1890.585	1890.966	1889.962	1887.812	1886.641	0	0
2017-12-29 13:15:00	1891.463	1891.554	1890.806	1890.926	1889.957	1887.798	1886.609	0	0
2017-12-29 13:10:00	1890.811	1891.878	1890.765	1891.541	1890.011	1887.771	1886.582	0	0
2017-12-29 13:05:00	1890.935	1891.063	1890.612	1890.843	1890.037	1887.749	1886.543	0	0
2017-12-29 13:00:00	1890.943	1891.415	1890.812	1890.910	1890.081	1887.741	1886.497	0	0
2017-12-29 12:55:00	1890.465	1890.465	1890.465	1890.465	1890.107	1887.718	1886.452	0	0
2017-12-29 11:30:00	1890.399	1890.399	1890.399	1890.399	1890.097	1887.707	1886.411	0	0
2017-12-29 11:25:00	1889.620	1890.372	1889.442	1890.372	1890.095	1887.704	1886.364	0	0
2017-12-29 11:20:00	1889.761	1889.806	1889.548	1889.612	1890.072	1887.701	1886.328	0	0
2017-12-29 11:15:00	1891.384	1891.517	1889.647	1889.755	1890.064	1887.711	1886.296	0	0
2017-12-29 11:10:00	1891.663	1891.734	1891.429	1891.432	1890.053	1887.724	1886.276	0	0
2017-12-29 11:05:00	1892.507	1892.571	1891.639	1891.678	1890.004	1887.720	1886.250	0	0
2017-12-29 11:00:00	1891.562	1892.991	1891.537	1892.512	1889.952	1887.715	1886.216	0	0
2017-12-29 10:55:00	1890.884	1891.428	1890.584	1891.419	1889.914	1887.690	1886.174	0	0
2017-12-29 10:50:00	1890.747	1891.386	1890.598	1890.943	1889.892	1887.682	1886.135	0	0
2017-12-29 10:45:00	1889.932	1890.891	1889.932	1890.732	1889.854	1887.690	1886.098	0	0
2017-12-29 10:40:00	1888.710	1889.938	1888.082	1889.886	1889.815	1887.708	1886.063	0	0
2017-12-29 10:35:00	1889.455	1889.455	1888.698	1888.704	1889.802	1887.740	1886.034	0	0
2017-12-29 10:30:00	1890.019	1890.080	1888.783	1889.396	1889.786	1887.778	1886.023	0	0
2017-12-29 10:25:00	1891.179	1891.179	1890.003	1890.042	1889.764	1887.806	1886.011	0	0
2017-12-29 10:20:00	1892.130	1892.130	1891.205	1891.205	1889.743	1887.839	1885.997	0	0
2017-12-29 10:15:00	1892.135	1893.175	1892.092	1892.092	1889.720	1887.860	1885.967	0	0
2017-12-29 10:10:00	1891.327	1892.186	1891.045	1892.083	1889.663	1887.861	1885.935	0	0
2017-12-29 10:05:00	1892.876	1892.876	1891.330	1891.334	1889.610	1887.839	1885.907	0	0
2017-12-29 10:00:00	1892.194	1893.069	1891.984	1892.888	1889.536	1887.815	1885.893	0	0
2017-12-29 09:55:00	1894.162	1894.162	1892.266	1892.266	1889.451	1887.793	1885.867	0	0
2017-12-29 09:50:00	1894.649	1895.145	1894.106	1894.171	1889.370	1887.768	1885.855	0	0
2017-12-29 09:45:00	1893.541	1895.600	1893.541	1894.595	1889.129	1887.724	1885.850	0	0
2017-12-29 09:40:00	1892.505	1893.538	1891.890	1893.538	1888.803	1887.686	1885.845	0	0
2017-12-29 09:35:00	1890.014	1892.721	1889.583	1892.468	1888.535	1887.639	1885.844	0	0
2017-12-29 09:30:00	1887.960	1890.664	1887.960	1890.053	1888.299	1887.589	1885.849	0	0
2017-12-29 09:25:00	1888.051	1888.051	1888.001	1888.001	1888.056	1887.587	1885.877	0	0
2017-12-28 15:00:00	1887.340	1887.340	1887.340	1887.340	1887.802	1887.628	1885.918	0	0
2017-12-28 14:55:00	1886.491	1886.874	1886.451	1886.874	1887.611	1887.649	1885.968	0	0
2017-12-28 14:50:00	1885.809	1886.704	1885.771	1886.568	1887.408	1887.665	1886.036	0	0
