Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-11-30 15:00:00	1901.855	1901.855	1901.855	1901.855	1910.838	1909.739	1907.406	0	0
2017-11-30 14:55:00	1901.216	1901.765	1901.103	1901.756	1910.951	1909.866	1907.411	0	0
2017-11-30 14:50:00	1901.953	1902.768	1901.172	1901.172	1911.166	1910.013	1907.445	0	0
2017-11-30 14:45:00	1901.375	1901.910	1900.625	1901.897	1911.523	1910.205	1907.477	0	0
2017-11-30 14:40:00	1899.933	1901.735	1899.933	1901.385	1911.866	1910.377	1907.507	0	0
2017-11-30 14:35:00	1900.117	1900.140	1896.538	1899.766	1912.219	1910.546	1907.515	0	0
2017-11-30 14:30:00	1898.776	1900.627	1898.582	1900.228	1912.618	1910.727	1907.565	0	0
2017-11-30 14:25:00	1902.670	1902.670	1898.515	1898.785	1912.965	1910.892	1907.609	0	0
2017-11-30 14:20:00	1904.447	1904.897	1902.778	1902.789	1913.313	1911.065	1907.705	0	0
2017-11-30 14:15:00	1902.017	1904.431	1902.017	1904.408	1913.582	1911.185	1907.805	0	0
2017-11-30 14:10:00	1903.422	1903.439	1900.651	1901.719	1913.877	1911.265	1907.896	0	0
2017-11-30 14:05:00	1902.501	1903.826	1902.394	1903.557	1914.239	1911.367	1907.994	0	0
2017-11-30 14:00:00	1906.811	1906.811	1901.849	1902.505	1914.569	1911.418	1908.086	0	0
2017-11-30 13:55:00	1906.143	1906.969	1906.097	1906.964	1914.804	1911.469	1908.190	0	0
2017-11-30 13:50:00	1908.244	1908.299	1906.058	1906.113	1914.933	1911.473	1908.279	0	0
2017-11-30 13:45:00	1907.877	1908.271	1906.301	1908.229	1915.061	1911.514	1908.375	0	0
2017-11-30 13:40:00	1910.040	1910.486	1908.033	1908.043	1915.195	1911.535	1908.471	0	0
2017-11-30 13:35:00	1910.528	1910.791	1909.781	1909.937	1915.290	1911.576	1908.567	0	0
2017-11-30 13:30:00	1911.527	1911.804	1909.449	1910.442	1915.287	1911.598	1908.655	0	0
2017-11-30 13:25:00	1916.766	1916.837	1911.515	1911.561	1915.226	1911.567	1908.739	0	0
2017-11-30 13:20:00	1917.388	1917.762	1916.784	1916.802	1915.096	1911.521	1908.821	0	0
