Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-01-27 11:35:00	23381.61	23391.56	23378.13	23385.33	23361.23	23336.35	23162.74	150	150
2017-01-27 11:30:00	23382.84	23389.95	23374.08	23379.39	23361.13	23332.85	23160.66	150	150
2017-01-27 11:25:00	23376.46	23384.77	23371.42	23376.45	23361.03	23329.38	23158.64	150	150
2017-01-27 11:20:00	23380.04	23390.15	23371.31	23372.66	23360.89	23325.89	23156.62	150	150
2017-01-27 11:15:00	23377.48	23385.80	23372.21	23380.82	23360.63	23322.39	23154.59	150	150
2017-01-27 11:10:00	23387.41	23393.49	23371.74	23377.48	23360.08	23318.77	23152.54	150	150
2017-01-27 11:05:00	23385.88	23393.42	23381.54	23388.09	23359.79	23315.17	23150.48	150	150
2017-01-27 11:00:00	23381.68	23393.25	23374.06	23383.29	23359.28	23311.45	23148.38	150	150
2017-01-27 10:55:00	23383.60	23394.30	23377.51	23384.50	23358.79	23307.80	23146.33	150	150
2017-01-27 10:50:00	23363.57	23394.58	23358.54	23385.73	23358.27	23304.21	23144.28	150	150
2017-01-27 10:45:00	23351.85	23367.57	23350.28	23360.92	23357.81	23300.58	23142.18	150	150
2017-01-27 10:40:00	23359.25	23365.72	23350.82	23351.47	23358.04	23297.14	23140.19	150	150
2017-01-27 10:35:00	23338.32	23363.81	23332.20	23362.04	23358.45	23293.74	23138.25	150	150
2017-01-27 10:30:00	23340.96	23343.76	23331.56	23333.87	23358.61	23290.31	23136.23	150	149
2017-01-27 10:25:00	23345.45	23348.33	23333.31	23342.59	23359.22	23287.07	23134.37	150	149
2017-01-27 10:20:00	23341.12	23353.90	23336.52	23346.73	23359.56	23283.78	23132.50	150	149
2017-01-27 10:15:00	23338.29	23354.50	23337.38	23344.54	23359.88	23280.38	23130.63	150	149
2017-01-27 10:10:00	23357.09	23361.91	23333.97	23342.49	23360.29	23276.92	23128.74	150	149
2017-01-27 10:05:00	23350.28	23365.20	23344.96	23357.19	23360.69	23273.43	23126.83	150	149
2017-01-27 10:00:00	23359.63	23359.92	23344.73	23353.64	23360.76	23269.70	23124.82	150	149
2017-01-27 09:55:00	23358.94	23362.95	23341.51	23356.55	23360.81	23266.02	23122.81	150	149
2017-01-27 09:50:00	23350.05	23360.90	23347.90	23358.50	23360.74	23262.34	23120.78	150	149
2017-01-27 09:45:00	23346.95	23360.98	23338.24	23349.83	23360.49	23258.60	23118.80	150	149
2017-01-27 09:40:00	23357.55	23357.55	23334.69	23345.72	23360.61	23255.04	23116.79	150	149
2017-01-27 09:35:00	23341.34	23367.39	23338.95	23355.04	23360.92	23251.47	23114.79	150	149
2017-01-27 09:30:00	23345.98	23363.53	23307.05	23343.67	23361.02	23247.81	23112.84	150	149
2017-01-27 09:25:00	23339.15	23339.15	23339.15	23339.15	23361.21	23244.26	23111.02	150	149
2017-01-27 09:20:00	23339.15	23339.15	23339.15	23339.15	23361.49	23240.71	23109.15	137	149
2017-01-26 15:55:00	23369.91	23386.41	23363.05	23381.84	23361.60	23236.93	23107.25	150	150
