Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-11-01 15:55:00	28589.52	28605.72	28582.65	28599.36	28458.81	28400.20	28390.06	150	150
2017-11-01 15:50:00	28571.49	28599.29	28568.25	28590.54	28454.71	28396.92	28389.87	150	150
2017-11-01 15:45:00	28575.54	28606.59	28569.43	28575.35	28450.74	28393.63	28390.17	150	150
2017-11-01 15:40:00	28535.47	28573.29	28535.47	28571.33	28447.12	28390.56	28390.22	150	150
2017-11-01 15:35:00	28526.57	28552.39	28522.78	28544.80	28444.05	28387.89	28390.29	150	150
2017-11-01 15:30:00	28498.48	28530.82	28488.54	28526.84	28441.23	28385.54	28389.63	150	150
2017-11-01 15:25:00	28496.03	28500.03	28479.40	28496.79	28439.04	28383.32	28389.13	150	150
2017-11-01 15:20:00	28488.17	28502.40	28487.19	28496.78	28437.38	28381.39	28388.72	150	150
2017-11-01 15:15:00	28484.52	28501.21	28478.24	28490.08	28435.66	28379.48	28388.20	150	150
2017-11-01 15:10:00	28490.49	28503.82	28480.39	28480.45	28434.07	28377.58	28387.75	150	150
2017-11-01 15:05:00	28464.67	28491.51	28464.16	28488.44	28432.97	28375.71	28387.35	150	150
2017-11-01 15:00:00	28471.41	28477.26	28460.70	28460.70	28431.87	28373.82	28386.78	150	150
2017-11-01 14:55:00	28486.35	28490.57	28458.39	28470.02	28430.54	28372.23	28386.40	150	150
2017-11-01 14:50:00	28482.03	28494.71	28475.95	28486.35	28428.60	28370.55	28385.95	150	150
2017-11-01 14:45:00	28491.52	28493.55	28476.01	28482.03	28425.71	28368.67	28385.42	150	150
2017-11-01 14:40:00	28485.61	28493.44	28479.61	28485.87	28422.78	28366.78	28384.96	150	150
2017-11-01 14:35:00	28479.61	28488.82	28476.15	28485.61	28420.97	28364.78	28384.49	150	150
2017-11-01 14:30:00	28469.95	28487.35	28463.34	28479.31	28419.01	28362.90	28384.00	150	150
2017-11-01 14:25:00	28467.26	28480.21	28461.70	28467.38	28417.17	28361.04	28383.50	150	150
2017-11-01 14:20:00	28480.44	28487.18	28468.46	28468.76	28414.13	28359.23	28383.04	150	150
2017-11-01 14:15:00	28482.29	28489.02	28469.14	28480.50	28411.16	28357.35	28382.57	150	150
2017-11-01 14:10:00	28475.07	28494.81	28475.07	28481.16	28408.03	28355.23	28382.08	150	150
2017-11-01 14:05:00	28473.06	28486.09	28465.01	28473.58	28404.97	28353.18	28381.62	150	150
2017-11-01 14:00:00	28479.10	28480.45	28464.27	28472.28	28402.05	28351.41	28381.31	150	150
2017-11-01 13:55:00	28496.95	28496.95	28471.20	28473.39	28399.38	28349.52	28381.04	150	150
2017-11-01 13:50:00	28478.59	28502.40	28475.49	28494.44	28396.80	28347.54	28380.72	150	150
2017-11-01 13:45:00	28451.15	28484.58	28451.14	28478.59	28393.71	28345.41	28380.30	150	150
2017-11-01 13:40:00	28417.03	28446.12	28409.83	28446.12	28391.06	28343.27	28379.90	150	150
2017-11-01 13:35:00	28407.17	28420.50	28402.37	28414.76	28389.00	28341.39	28379.59	150	150
2017-11-01 13:30:00	28409.46	28417.57	28395.98	28405.59	28387.43	28339.57	28379.35	150	150
2017-11-01 13:25:00	28417.47	28424.01	28407.72	28407.72	28385.90	28337.85	28379.15	150	150
2017-11-01 13:20:00	28406.30	28423.95	28399.70	28418.06	28384.28	28336.11	28378.93	150	150
2017-11-01 13:15:00	28396.29	28410.97	28387.95	28405.47	28382.50	28334.03	28378.72	150	150
2017-11-01 13:10:00	28410.60	28412.72	28390.54	28395.99	28381.10	28332.08	28378.57	150	150
2017-11-01 13:05:00	28424.31	28430.41	28407.13	28412.63	28379.30	28330.48	28378.47	150	150
2017-11-01 13:00:00	28404.23	28427.74	28404.23	28427.31	28377.14	28328.83	28378.32	150	150
2017-11-01 11:55:00	28395.28	28404.98	28389.58	28393.73	28374.46	28327.03	28377.99	150	150
2017-11-01 11:50:00	28393.00	28403.32	28386.86	28395.66	28372.45	28326.87	28377.81	150	150
2017-11-01 11:45:00	28409.09	28410.41	28389.78	28394.51	28370.45	28326.64	28377.63	150	150
2017-11-01 11:40:00	28399.99	28415.25	28399.93	28403.99	28368.32	28326.28	28377.79	150	150
2017-11-01 11:35:00	28407.60	28410.42	28394.26	28399.32	28366.21	28326.04	28378.05	150	150
2017-11-01 11:30:00	28409.07	28417.60	28398.56	28405.49	28364.16	28325.71	28378.25	150	150
2017-11-01 11:25:00	28429.81	28436.71	28402.61	28409.61	28362.18	28325.32	28378.41	150	150
2017-11-01 11:20:00	28422.13	28433.03	28416.58	28432.14	28360.05	28325.37	28378.55	150	150
2017-11-01 11:15:00	28423.53	28442.39	28422.95	28422.95	28357.21	28325.22	28378.59	150	150
2017-11-01 11:10:00	28413.94	28433.55	28410.43	28423.53	28354.67	28325.15	28378.77	150	150
2017-11-01 11:05:00	28410.20	28417.80	28404.83	28413.35	28351.85	28325.14	28378.91	150	150
2017-11-01 11:00:00	28398.70	28417.22	28390.51	28405.29	28349.34	28325.15	28379.15	150	150
2017-11-01 10:55:00	28408.73	28413.99	28388.76	28399.41	28346.86	28325.25	28379.45	150	150
2017-11-01 10:50:00	28396.79	28421.20	28394.68	28406.96	28344.37	28325.27	28379.80	150	150
2017-11-01 10:45:00	28397.29	28409.20	28389.80	28394.83	28341.59	28325.34	28380.14	150	150
2017-11-01 10:40:00	28395.01	28400.76	28387.92	28391.56	28339.13	28325.59	28380.52	150	150
2017-11-01 10:35:00	28415.21	28420.42	28393.20	28394.72	28336.53	28325.71	28380.82	150	150
2017-11-01 10:30:00	28406.05	28420.32	28397.23	28417.72	28334.00	28325.86	28381.13	150	149
2017-11-01 10:25:00	28410.75	28420.72	28400.97	28403.97	28331.73	28325.67	28381.32	150	149
2017-11-01 10:20:00	28412.82	28424.43	28406.71	28417.12	28329.85	28325.58	28381.52	150	149
2017-11-01 10:15:00	28415.35	28427.63	28407.11	28413.52	28327.60	28325.53	28381.76	150	149
2017-11-01 10:10:00	28409.33	28412.76	28394.94	28411.27	28325.41	28325.73	28382.13	150	149
2017-11-01 10:05:00	28422.79	28431.47	28407.61	28410.19	28323.29	28325.77	28382.50	150	149
2017-11-01 10:00:00	28433.19	28437.11	28420.68	28425.43	28321.09	28325.83	28382.73	150	149
2017-11-01 09:55:00	28390.72	28444.16	28389.97	28433.34	28318.46	28325.89	28382.84	150	149
2017-11-01 09:50:00	28372.16	28420.28	28369.66	28394.46	28315.78	28325.62	28382.92	150	149
2017-11-01 09:45:00	28347.01	28377.73	28338.84	28373.10	28313.93	28325.74	28383.31	150	149
2017-11-01 09:40:00	28336.81	28358.72	28329.50	28341.53	28312.51	28326.06	28383.72	150	149
2017-11-01 09:35:00	28393.19	28406.04	28335.98	28335.98	28311.63	28326.77	28384.20	150	149
2017-11-01 09:30:00	28381.61	28402.30	28355.40	28394.98	28310.77	28327.57	28384.67	150	149
2017-11-01 09:25:00	28387.55	28387.55	28387.55	28387.55	28308.60	28327.57	28384.84	150	149
2017-11-01 09:20:00	28387.55	28387.55	28387.55	28387.55	28306.79	28327.98	28384.97	134	149
2017-10-31 15:55:00	28324.67	28326.41	28300.25	28315.27	28304.90	28328.88	28384.96	150	150
2017-10-31 15:50:00	28325.06	28332.64	28307.84	28320.17	28304.34	28330.33	28385.40	150	150
2017-10-31 15:45:00	28330.21	28333.47	28315.78	28323.96	28303.54	28331.88	28385.54	150	150
2017-10-31 15:40:00	28327.80	28331.99	28316.46	28328.31	28302.43	28333.41	28385.58	150	150
2017-10-31 15:35:00	28338.59	28341.00	28319.39	28327.84	28301.38	28334.79	28385.61	150	150
2017-10-31 15:30:00	28339.91	28351.46	28331.04	28338.45	28300.77	28336.21	28385.05	150	150
2017-10-31 15:25:00	28342.85	28354.11	28335.98	28344.37	28299.67	28337.47	28384.45	150	150
2017-10-31 15:20:00	28346.36	28351.04	28336.75	28340.34	28298.29	28338.51	28383.88	150	150
2017-10-31 15:15:00	28342.21	28351.04	28332.58	28345.74	28297.10	28339.92	28383.29	150	150
