Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-06-30 15:55:00	25791.84	25796.56	25774.61	25776.57	25760.68	25808.61	25788.60	150	150
2017-06-30 15:50:00	25803.01	25808.04	25783.58	25788.45	25759.68	25809.65	25788.70	150	150
2017-06-30 15:45:00	25793.64	25814.45	25793.51	25803.85	25758.27	25810.66	25788.78	150	150
2017-06-30 15:40:00	25790.56	25799.04	25781.47	25790.35	25756.83	25811.60	25788.43	150	150
2017-06-30 15:35:00	25773.86	25796.76	25769.77	25789.04	25755.37	25812.55	25788.16	150	150
2017-06-30 15:30:00	25769.36	25778.62	25758.00	25777.27	25753.50	25813.66	25788.43	150	150
2017-06-30 15:25:00	25757.94	25773.58	25752.63	25769.59	25751.69	25814.93	25788.77	150	150
2017-06-30 15:20:00	25752.07	25767.52	25751.83	25757.47	25750.54	25816.23	25789.21	150	150
2017-06-30 15:15:00	25758.15	25763.55	25746.96	25752.36	25749.69	25817.92	25789.73	150	150
2017-06-30 15:10:00	25733.22	25756.65	25724.14	25756.65	25749.05	25819.50	25790.24	150	150
2017-06-30 15:05:00	25753.37	25755.74	25725.47	25731.32	25748.83	25820.94	25790.79	150	150
2017-06-30 15:00:00	25791.50	25798.05	25756.19	25756.19	25749.01	25822.63	25791.45	150	150
2017-06-30 14:55:00	25784.53	25801.63	25784.53	25794.92	25748.49	25823.89	25791.99	150	150
2017-06-30 14:50:00	25802.19	25812.21	25788.65	25798.55	25747.31	25824.87	25792.29	150	150
2017-06-30 14:45:00	25790.94	25807.35	25789.05	25800.59	25745.79	25825.71	25792.52	150	150
2017-06-30 14:40:00	25784.53	25803.04	25784.53	25793.25	25744.91	25826.63	25792.72	150	150
2017-06-30 14:35:00	25788.83	25792.59	25776.00	25785.61	25743.39	25827.61	25793.04	150	150
2017-06-30 14:30:00	25779.80	25789.77	25774.77	25785.43	25741.27	25828.59	25793.37	150	150
2017-06-30 14:25:00	25776.89	25786.84	25769.29	25784.01	25739.16	25829.57	25793.63	150	150
2017-06-30 14:20:00	25786.07	25787.39	25768.29	25773.70	25742.34	25830.27	25793.88	150	150
2017-06-30 14:15:00	25795.44	25796.51	25777.24	25783.83	25745.51	25831.06	25794.23	150	150
2017-06-30 14:10:00	25790.25	25802.16	25786.82	25797.71	25748.54	25831.73	25794.54	150	150
2017-06-30 14:05:00	25798.71	25801.99	25788.15	25791.57	25751.21	25832.40	25794.71	150	150
2017-06-30 14:00:00	25805.82	25816.25	25795.00	25795.33	25754.19	25833.13	25794.80	150	150
2017-06-30 13:55:00	25800.48	25805.31	25781.40	25800.83	25757.45	25833.78	25794.88	150	150
2017-06-30 13:50:00	25761.25	25813.19	25759.79	25801.93	25760.29	25834.33	25794.95	150	150
2017-06-30 13:45:00	25756.64	25773.79	25754.10	25760.83	25763.12	25834.96	25795.03	150	150
2017-06-30 13:40:00	25760.53	25763.71	25742.74	25756.05	25766.78	25835.84	25795.31	150	150
