Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-04-28 15:55:00	24598.44	24619.01	24585.30	24610.27	24603.35	24632.76	24602.87	150	150
2017-04-28 15:50:00	24599.19	24608.36	24589.03	24596.49	24603.27	24632.87	24602.84	150	150
2017-04-28 15:45:00	24593.74	24598.31	24582.05	24596.23	24603.50	24632.96	24602.93	150	150
2017-04-28 15:40:00	24595.41	24602.94	24586.81	24591.89	24604.04	24632.89	24602.76	150	150
2017-04-28 15:35:00	24597.06	24604.72	24589.59	24598.69	24604.84	24632.87	24602.62	150	150
2017-04-28 15:30:00	24588.97	24604.74	24586.06	24596.83	24605.73	24632.45	24601.69	150	150
2017-04-28 15:25:00	24602.37	24605.43	24590.85	24593.04	24606.63	24632.30	24600.79	150	150
2017-04-28 15:20:00	24611.51	24614.34	24592.99	24602.00	24607.63	24632.19	24599.93	150	150
2017-04-28 15:15:00	24616.50	24623.17	24606.73	24610.46	24608.71	24632.00	24598.99	150	150
2017-04-28 15:10:00	24611.59	24621.43	24606.37	24613.41	24609.21	24631.72	24598.08	150	150
2017-04-28 15:05:00	24620.95	24627.14	24608.86	24612.49	24609.02	24631.39	24597.17	150	150
2017-04-28 15:00:00	24627.36	24629.86	24612.36	24622.02	24609.45	24630.98	24596.27	150	150
2017-04-28 14:55:00	24619.83	24629.46	24612.70	24629.45	24609.83	24630.57	24595.34	150	150
2017-04-28 14:50:00	24622.73	24624.04	24609.17	24619.56	24609.65	24630.05	24594.33	150	150
2017-04-28 14:45:00	24627.13	24629.01	24607.59	24621.25	24609.81	24629.59	24593.39	150	150
2017-04-28 14:40:00	24620.74	24628.55	24616.62	24627.13	24610.07	24629.01	24592.37	150	150
2017-04-28 14:35:00	24620.19	24628.42	24614.91	24620.52	24610.51	24628.35	24591.36	150	150
2017-04-28 14:30:00	24617.38	24626.27	24609.56	24619.06	24611.92	24627.68	24590.40	150	150
