Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-09-01 15:55:00	27949.47	27965.00	27936.94	27957.54	27995.79	27982.54	27985.89	150	150
2017-09-01 15:50:00	27961.92	27972.77	27949.76	27955.06	27997.53	27982.06	27986.23	150	150
2017-09-01 15:45:00	27958.74	27968.21	27948.04	27964.14	27999.26	27981.56	27986.41	150	150
2017-09-01 15:40:00	27957.11	27967.91	27949.88	27961.46	28001.12	27981.16	27986.38	150	150
2017-09-01 15:35:00	27956.64	27959.40	27944.25	27952.33	28003.03	27980.91	27986.36	150	150
2017-09-01 15:30:00	27959.94	27962.05	27944.23	27948.55	28005.17	27980.74	27985.41	150	150
2017-09-01 15:25:00	27957.49	27960.23	27944.28	27958.57	28007.10	27980.67	27984.50	150	150
2017-09-01 15:20:00	27952.11	27961.31	27946.15	27953.03	28008.93	27980.55	27983.52	150	150
2017-09-01 15:15:00	27956.98	27966.02	27946.96	27955.72	28011.40	27980.38	27982.64	150	150
2017-09-01 15:10:00	27960.69	27970.37	27947.55	27959.93	28014.32	27980.10	27981.72	150	150
2017-09-01 15:05:00	27958.12	27968.80	27951.19	27962.04	28017.15	27979.79	27980.74	150	150
2017-09-01 15:00:00	27974.50	27976.96	27953.25	27958.80	28019.42	27979.45	27979.80	150	150
2017-09-01 14:55:00	27948.02	27976.80	27938.73	27973.97	28022.03	27979.05	27978.90	150	150
2017-09-01 14:50:00	27946.59	27953.22	27941.41	27946.46	28024.13	27978.58	27978.03	150	150
2017-09-01 14:45:00	27955.58	27959.33	27938.77	27942.21	28026.58	27978.30	27977.24	150	150
2017-09-01 14:40:00	27941.42	27957.49	27939.21	27957.49	28028.71	27978.21	27976.43	150	150
2017-09-01 14:35:00	27920.48	27952.48	27915.44	27941.08	28029.96	27977.73	27975.49	150	150
2017-09-01 14:30:00	27932.32	27942.79	27915.67	27917.56	28031.45	27977.51	27974.87	150	150
2017-09-01 14:25:00	27927.11	27942.20	27922.18	27932.28	28033.40	27977.44	27974.41	150	150
2017-09-01 14:20:00	27975.25	27982.95	27924.73	27926.40	28033.27	27977.37	27973.90	150	150
2017-09-01 14:15:00	27971.20	27982.13	27967.95	27977.32	28032.89	27977.27	27973.42	150	150
2017-09-01 14:10:00	27975.81	27984.04	27963.43	27974.35	28032.27	27976.82	27972.55	150	150
2017-09-01 14:05:00	27989.24	27989.56	27970.63	27975.81	28032.06	27976.65	27971.70	150	150
2017-09-01 14:00:00	27960.61	27989.71	27952.20	27988.61	28031.69	27976.49	27970.85	150	150
2017-09-01 13:55:00	27970.67	27972.75	27955.57	27958.34	28031.31	27976.34	27969.95	150	150
2017-09-01 13:50:00	27966.70	27976.20	27958.88	27968.44	28031.24	27976.56	27969.23	150	150
2017-09-01 13:45:00	27964.86	27969.21	27945.11	27963.07	28031.00	27976.49	27968.42	150	150
2017-09-01 13:40:00	27975.81	27976.67	27957.07	27965.61	28030.91	27976.30	27967.54	150	150
2017-09-01 13:35:00	27992.92	28002.95	27970.22	27973.99	28030.56	27975.95	27966.57	150	150
2017-09-01 13:30:00	28008.05	28009.39	27992.68	27993.34	28030.23	27975.29	27965.56	150	150
2017-09-01 13:25:00	28012.18	28013.56	27996.25	28007.45	28029.33	27974.47	27964.45	150	150
2017-09-01 13:20:00	28018.47	28019.82	28001.18	28011.37	28027.25	27973.39	27963.18	150	150
2017-09-01 13:15:00	28025.58	28027.80	28009.85	28017.09	28025.19	27972.44	27961.84	150	150
2017-09-01 13:10:00	28043.63	28045.25	28024.37	28025.34	28023.11	27972.09	27960.50	150	150
2017-09-01 13:05:00	28043.89	28049.77	28039.99	28043.63	28020.89	27971.59	27959.11	150	150
2017-09-01 13:00:00	28055.85	28067.45	28038.27	28040.22	28018.06	27970.50	27957.62	150	150
2017-09-01 11:55:00	28062.76	28067.29	28048.45	28055.13	28015.65	27969.44	27956.17	150	150
2017-09-01 11:50:00	28066.17	28070.35	28054.22	28061.94	28012.47	27969.78	27954.77	150	150
2017-09-01 11:45:00	28067.47	28074.29	28058.11	28064.14	28009.24	27970.11	27953.30	150	150
2017-09-01 11:40:00	28063.56	28079.67	28061.33	28065.19	28006.33	27970.41	27951.76	150	150
2017-09-01 11:35:00	28072.62	28081.83	28063.75	28063.93	28003.42	27970.94	27950.25	150	150
2017-09-01 11:30:00	28083.19	28083.19	28063.53	28074.78	28000.32	27971.58	27948.74	150	150
2017-09-01 11:25:00	28077.59	28085.89	28071.20	28078.49	27997.12	27971.73	27947.12	150	150
2017-09-01 11:20:00	28068.99	28083.45	28068.99	28076.36	27993.26	27971.79	27945.45	150	150
2017-09-01 11:15:00	28054.22	28075.47	28050.91	28067.45	27989.39	27971.85	27943.78	150	150
2017-09-01 11:10:00	28056.14	28065.49	28047.96	28055.73	27985.53	27971.77	27942.15	150	150
2017-09-01 11:05:00	28056.31	28067.45	28050.97	28056.71	27981.70	27971.71	27940.54	150	150
2017-09-01 11:00:00	28055.48	28066.05	28049.68	28055.16	27978.09	27971.67	27938.90	150	150
2017-09-01 10:55:00	28049.48	28063.01	28045.24	28055.20	27975.02	27971.65	27937.30	150	150
2017-09-01 10:50:00	28048.42	28051.36	28032.69	28050.63	27971.98	27971.55	27935.77	150	150
2017-09-01 10:45:00	28042.32	28054.07	28035.95	28044.71	27969.30	27971.49	27934.26	150	150
2017-09-01 10:40:00	28058.81	28064.53	28038.83	28041.46	27966.58	27971.75	27932.85	150	150
2017-09-01 10:35:00	28056.06	28078.67	28055.32	28056.90	27963.87	27972.18	27931.46	150	150
2017-09-01 10:30:00	28062.23	28069.79	28055.31	28057.12	27961.21	27972.48	27929.92	150	149
2017-09-01 10:25:00	28044.04	28062.91	28044.04	28059.50	27958.79	27972.98	27928.35	150	149
2017-09-01 10:20:00	28052.80	28056.19	28037.32	28045.01	27956.30	27973.30	27926.79	150	149
2017-09-01 10:15:00	28078.79	28081.03	28049.55	28049.84	27954.24	27973.61	27925.30	150	149
2017-09-01 10:10:00	28100.72	28104.80	28076.35	28076.86	27952.18	27973.75	27923.88	150	149
2017-09-01 10:05:00	28101.70	28116.70	28093.89	28101.46	27949.36	27973.38	27922.37	150	149
2017-09-01 10:00:00	28077.69	28109.52	28076.79	28101.50	27945.88	27972.76	27920.81	150	149
2017-09-01 09:55:00	28091.64	28094.00	28070.12	28075.78	27942.43	27972.03	27919.34	150	149
2017-09-01 09:50:00	28082.07	28097.51	28076.65	28089.21	27939.47	27971.49	27918.02	150	149
2017-09-01 09:45:00	28072.25	28085.02	28067.89	28079.07	27936.07	27970.88	27916.38	150	149
2017-09-01 09:40:00	28047.63	28075.82	28043.80	28068.76	27933.02	27970.36	27914.69	150	149
2017-09-01 09:35:00	28024.76	28061.85	28024.07	28048.81	27930.02	27970.01	27913.02	150	149
2017-09-01 09:30:00	28014.04	28020.73	27962.66	28020.14	27927.71	27969.85	27911.15	150	149
2017-09-01 09:25:00	28015.22	28015.22	28015.22	28015.22	27925.50	27969.96	27909.40	150	149
2017-09-01 09:20:00	28015.22	28015.22	28015.22	28015.22	27923.58	27970.04	27907.61	137	149
2017-08-31 15:55:00	27910.32	27938.68	27908.16	27925.44	27921.48	27970.12	27905.90	150	150
2017-08-31 15:50:00	27946.76	27949.30	27907.46	27907.46	27921.48	27971.01	27905.02	150	150
2017-08-31 15:45:00	27958.83	27968.10	27938.11	27946.71	27921.65	27971.95	27904.19	150	150
2017-08-31 15:40:00	27956.84	27973.69	27954.79	27963.70	27921.37	27972.46	27903.18	150	150
2017-08-31 15:35:00	27967.81	27973.99	27956.27	27957.47	27921.23	27972.76	27902.09	150	150
2017-08-31 15:30:00	27957.78	27974.77	27954.60	27969.67	27921.29	27973.02	27901.59	150	150
2017-08-31 15:25:00	27951.13	27967.90	27949.15	27954.84	27921.37	27973.08	27900.98	150	150
2017-08-31 15:20:00	27956.98	27964.20	27944.65	27956.09	27921.88	27973.34	27900.45	150	150
2017-08-31 15:15:00	27949.74	27963.48	27945.97	27958.66	27921.97	27973.57	27899.95	150	150
2017-08-31 15:10:00	27957.46	27961.93	27947.22	27947.94	27921.69	27973.85	27899.42	150	150
2017-08-31 15:05:00	27946.53	27963.84	27939.09	27957.69	27921.35	27974.19	27899.00	150	150
2017-08-31 15:00:00	27910.55	27950.27	27908.99	27948.43	27920.35	27974.46	27898.59	150	150
2017-08-31 14:55:00	27907.42	27924.63	27903.29	27903.34	27919.60	27974.88	27898.10	150	150
2017-08-31 14:50:00	27915.71	27920.41	27906.45	27908.58	27919.53	27975.75	27897.81	150	150
2017-08-31 14:45:00	27914.91	27921.32	27906.19	27912.71	27919.68	27976.60	27897.56	150	150
2017-08-31 14:40:00	27903.41	27917.73	27900.97	27914.51	27921.08	27977.25	27897.36	150	150
2017-08-31 14:35:00	27918.42	27920.75	27899.98	27902.11	27922.29	27977.85	27896.98	150	150
2017-08-31 14:30:00	27896.01	27923.64	27888.70	27919.94	27922.94	27978.60	27896.53	150	150
2017-08-31 14:25:00	27906.47	27911.30	27887.54	27896.01	27923.23	27979.33	27896.21	150	150
2017-08-31 14:20:00	27918.86	27923.57	27897.66	27900.34	27927.08	27980.28	27896.14	150	150
2017-08-31 14:15:00	27917.82	27926.20	27909.30	27918.86	27930.99	27981.12	27896.09	150	150
2017-08-31 14:10:00	27906.19	27929.37	27900.24	27919.63	27934.48	27981.61	27895.87	150	150
2017-08-31 14:05:00	27914.84	27917.14	27899.78	27908.70	27938.46	27981.93	27895.61	150	150
2017-08-31 14:00:00	27889.59	27915.52	27889.59	27914.84	27942.84	27982.36	27895.59	150	150
2017-08-31 13:55:00	27882.54	27895.49	27876.58	27885.73	27946.33	27982.70	27895.58	150	150
2017-08-31 13:50:00	27871.24	27884.78	27867.43	27882.54	27950.31	27983.37	27895.83	150	150
2017-08-31 13:45:00	27864.22	27882.28	27861.48	27874.71	27954.32	27984.25	27896.08	150	150
2017-08-31 13:40:00	27873.61	27879.22	27862.61	27864.22	27958.00	27985.17	27896.41	150	150
2017-08-31 13:35:00	27901.68	27907.27	27868.36	27875.91	27961.71	27986.14	27896.77	150	150
2017-08-31 13:30:00	27899.59	27916.24	27894.13	27901.68	27965.25	27986.97	27897.14	150	150
2017-08-31 13:25:00	27918.10	27918.26	27901.54	27903.12	27968.28	27987.68	27897.37	150	150
2017-08-31 13:20:00	27909.25	27917.98	27903.06	27916.74	27971.12	27988.68	27897.65	150	150
2017-08-31 13:15:00	27905.76	27920.62	27898.97	27908.78	27973.68	27989.23	27897.84	150	150
2017-08-31 13:10:00	27921.38	27926.94	27895.27	27906.00	27976.92	27990.41	27898.04	150	150
2017-08-31 13:05:00	27938.55	27945.50	27922.14	27923.71	27980.48	27991.26	27898.33	150	150
2017-08-31 13:00:00	27933.42	27942.14	27922.73	27936.34	27983.76	27991.60	27898.52	150	150
2017-08-31 11:55:00	27944.09	27946.05	27925.23	27935.00	27987.16	27991.82	27898.61	150	150
2017-08-31 11:50:00	27946.64	27951.17	27937.32	27942.04	27990.31	27990.09	27898.73	150	150
2017-08-31 11:45:00	27938.82	27954.84	27931.09	27946.67	27992.99	27988.33	27898.96	150	150
2017-08-31 11:40:00	27927.10	27940.46	27921.04	27936.06	27995.32	27986.48	27899.23	150	150
2017-08-31 11:35:00	27929.46	27940.52	27922.77	27927.10	27997.39	27984.90	27899.55	150	150
2017-08-31 11:30:00	27926.99	27938.01	27921.93	27929.26	27999.64	27983.34	27899.93	150	150
2017-08-31 11:25:00	27918.74	27928.10	27907.12	27927.80	28001.63	27981.69	27900.32	150	150
2017-08-31 11:20:00	27923.37	27927.80	27902.27	27919.03	28003.52	27980.16	27900.63	150	150
2017-08-31 11:15:00	27917.73	27929.53	27916.26	27926.79	28005.68	27978.75	27900.91	150	150
2017-08-31 11:10:00	27940.01	27940.24	27916.69	27918.74	28007.69	27977.47	27901.10	150	150
2017-08-31 11:05:00	27908.73	27941.67	27902.18	27933.46	28010.00	27976.18	27901.43	150	150
2017-08-31 11:00:00	27919.97	27922.06	27899.75	27909.53	28011.99	27974.65	27901.63	150	150
2017-08-31 10:55:00	27906.08	27925.07	27896.42	27919.13	28014.42	27973.25	27901.93	150	150
2017-08-31 10:50:00	27922.48	27928.51	27892.10	27910.34	28016.49	27972.23	27902.17	150	150
2017-08-31 10:45:00	27917.64	27931.67	27907.73	27925.24	28018.76	27971.38	27902.53	150	150
2017-08-31 10:40:00	27932.19	27932.66	27911.11	27916.13	28020.53	27970.44	27902.91	150	150
2017-08-31 10:35:00	27958.25	27968.05	27926.93	27932.56	28022.24	27969.57	27903.46	150	150
2017-08-31 10:30:00	27958.45	27971.12	27952.11	27956.97	28023.56	27968.28	27903.92	150	149
2017-08-31 10:25:00	27978.37	27982.22	27956.24	27960.32	28024.28	27966.75	27904.24	150	149
2017-08-31 10:20:00	27981.39	27989.67	27970.41	27973.79	28024.76	27965.21	27904.64	150	149
2017-08-31 10:15:00	27960.36	27994.06	27958.41	27980.38	28024.80	27963.55	27904.98	150	149
2017-08-31 10:10:00	27940.44	27966.97	27935.90	27960.54	28024.79	27961.89	27905.33	150	149
2017-08-31 10:05:00	27927.42	27946.24	27916.69	27944.38	28025.18	27960.35	27905.83	150	149
2017-08-31 10:00:00	27910.16	27933.85	27896.67	27930.90	28026.01	27958.78	27906.37	150	149
2017-08-31 09:55:00	27911.26	27915.69	27893.25	27907.82	28027.03	27957.18	27906.87	150	149
