Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-06-30 14:30:00	2390.46	2391.81	2390.46	2391.79	2386.85	2388.20	2390.34	18	29
2017-06-30 14:25:00	2390.30	2390.30	2390.30	2390.30	2386.72	2388.23	2390.30	30	30
2017-06-30 14:20:00	2390.30	2390.30	2390.30	2390.30	2386.62	2388.28	2390.27	30	30
2017-06-30 14:15:00	2389.96	2391.40	2388.92	2390.30	2386.53	2388.35	2390.23	30	30
2017-06-30 14:10:00	2390.55	2391.29	2389.72	2390.53	2386.44	2388.42	2390.20	30	30
2017-06-30 14:05:00	2389.25	2391.07	2388.75	2390.34	2386.38	2388.49	2390.17	30	30
2017-06-30 14:00:00	2388.78	2390.27	2388.67	2388.90	2386.30	2388.56	2390.14	30	30
2017-06-30 13:55:00	2388.50	2389.81	2388.50	2388.82	2386.25	2388.65	2390.12	30	30
2017-06-30 13:50:00	2388.12	2389.46	2387.45	2388.31	2386.20	2388.74	2390.10	30	30
2017-06-30 13:45:00	2388.64	2388.80	2386.60	2388.21	2386.14	2388.84	2390.09	30	30
2017-06-30 13:40:00	2388.76	2389.16	2387.84	2387.90	2386.09	2388.93	2390.08	30	30
2017-06-30 13:35:00	2389.02	2389.19	2387.61	2388.23	2386.05	2389.03	2390.07	30	30
2017-06-30 13:30:00	2388.82	2389.12	2387.78	2388.78	2385.94	2389.14	2390.07	30	30
2017-06-30 13:25:00	2388.92	2389.41	2387.57	2388.20	2385.82	2389.24	2390.07	30	30
2017-06-30 13:20:00	2389.08	2389.37	2387.27	2388.19	2385.72	2389.35	2390.07	30	30
2017-06-30 13:15:00	2389.11	2389.35	2388.35	2388.92	2385.63	2389.45	2390.07	30	30
2017-06-30 13:10:00	2388.02	2389.48	2387.35	2388.82	2385.56	2389.54	2390.07	30	30
2017-06-30 13:05:00	2387.32	2388.69	2386.59	2388.13	2385.51	2389.64	2390.08	30	30
2017-06-30 13:00:00	2387.66	2388.32	2386.68	2387.63	2385.44	2389.74	2390.08	30	30
2017-06-30 12:55:00	2387.07	2387.94	2386.76	2387.30	2385.42	2389.83	2390.08	30	30
2017-06-30 12:50:00	2386.20	2387.98	2385.93	2386.42	2385.37	2389.94	2390.09	30	30
2017-06-30 12:45:00	2386.23	2387.42	2385.91	2386.32	2385.38	2390.05	2390.11	30	30
