Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-02-28 14:30:00	2091.22	2091.64	2091.14	2091.64	2092.05	2090.16	2090.48	17	29
2017-02-28 14:25:00	2091.64	2091.64	2091.64	2091.64	2092.01	2090.14	2090.50	30	30
2017-02-28 14:20:00	2091.64	2091.64	2091.64	2091.64	2092.00	2090.13	2090.51	30	30
2017-02-28 14:15:00	2091.48	2092.79	2091.38	2091.64	2092.00	2090.10	2090.51	30	30
2017-02-28 14:10:00	2091.70	2092.34	2090.67	2091.46	2092.01	2090.08	2090.52	30	30
2017-02-28 14:05:00	2092.64	2092.91	2090.73	2092.15	2092.01	2090.06	2090.52	30	30
2017-02-28 14:00:00	2092.45	2092.60	2091.17	2092.00	2091.99	2090.03	2090.52	30	30
2017-02-28 13:55:00	2091.39	2092.74	2091.32	2092.31	2091.99	2090.01	2090.53	30	30
2017-02-28 13:50:00	2090.79	2092.06	2090.79	2091.51	2091.99	2089.98	2090.55	30	30
2017-02-28 13:45:00	2091.55	2092.16	2090.90	2091.27	2091.98	2089.96	2090.57	30	30
2017-02-28 13:40:00	2092.27	2092.33	2090.76	2091.27	2091.98	2089.94	2090.59	30	30
2017-02-28 13:35:00	2092.66	2093.16	2091.87	2092.03	2091.96	2089.92	2090.63	30	30
2017-02-28 13:30:00	2092.91	2093.61	2091.88	2092.34	2091.92	2089.90	2090.66	30	30
2017-02-28 13:25:00	2092.33	2093.42	2092.13	2092.20	2091.89	2089.87	2090.69	30	30
2017-02-28 13:20:00	2092.56	2093.28	2091.62	2093.06	2091.85	2089.83	2090.73	30	30
2017-02-28 13:15:00	2093.17	2093.37	2091.88	2091.93	2091.79	2089.79	2090.77	30	30
2017-02-28 13:10:00	2092.90	2093.24	2092.01	2092.12	2091.72	2089.77	2090.80	30	30
2017-02-28 13:05:00	2092.30	2093.95	2092.30	2092.78	2091.62	2089.75	2090.84	30	30
2017-02-28 13:00:00	2093.21	2093.46	2092.03	2092.03	2091.51	2089.71	2090.87	30	30
2017-02-28 12:55:00	2092.81	2093.19	2091.96	2093.19	2091.41	2089.70	2090.90	30	30
2017-02-28 12:50:00	2092.99	2093.80	2092.24	2093.14	2091.29	2089.68	2090.93	30	30
2017-02-28 12:45:00	2092.72	2093.50	2092.38	2092.92	2091.16	2089.66	2090.96	30	30
2017-02-28 12:40:00	2093.26	2094.11	2092.62	2093.06	2091.02	2089.63	2091.00	30	30
2017-02-28 12:35:00	2094.00	2094.34	2093.02	2093.97	2090.88	2089.60	2091.03	30	30
2017-02-28 12:30:00	2093.51	2094.41	2093.12	2093.62	2090.72	2089.57	2091.05	30	30
2017-02-28 12:25:00	2092.97	2094.19	2092.77	2093.39	2090.55	2089.53	2091.08	30	30
2017-02-28 12:20:00	2092.18	2093.25	2091.90	2092.94	2090.41	2089.50	2091.12	30	30
