Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-01-31 14:30:00	2070.27	2070.27	2067.57	2067.57	2073.20	2077.07	2076.55	4	28
2017-01-31 14:25:00	2070.99	2070.99	2070.99	2070.99	2073.36	2077.26	2076.55	30	30
2017-01-31 14:20:00	2070.99	2070.99	2070.99	2070.99	2073.49	2077.43	2076.54	30	30
2017-01-31 14:15:00	2070.57	2071.59	2070.16	2070.99	2073.63	2077.59	2076.52	30	30
2017-01-31 14:10:00	2071.78	2072.19	2070.59	2071.59	2073.76	2077.76	2076.50	30	30
2017-01-31 14:05:00	2072.37	2072.98	2071.73	2071.77	2073.89	2077.91	2076.48	30	30
2017-01-31 14:00:00	2072.80	2073.40	2071.79	2072.53	2074.02	2078.05	2076.46	30	30
2017-01-31 13:55:00	2072.50	2073.64	2072.47	2072.59	2074.14	2078.19	2076.43	30	30
2017-01-31 13:50:00	2073.90	2073.90	2072.19	2072.78	2074.26	2078.32	2076.40	30	30
2017-01-31 13:45:00	2073.81	2074.24	2073.16	2073.48	2074.38	2078.46	2076.37	30	30
2017-01-31 13:40:00	2073.32	2074.49	2072.69	2073.72	2074.46	2078.59	2076.34	30	30
2017-01-31 13:35:00	2074.08	2074.38	2072.87	2073.14	2074.53	2078.72	2076.30	30	30
2017-01-31 13:30:00	2073.41	2073.80	2072.15	2073.21	2074.62	2078.85	2076.27	30	30
2017-01-31 13:25:00	2073.49	2073.79	2072.52	2072.52	2074.70	2078.98	2076.24	30	30
2017-01-31 13:20:00	2074.14	2074.81	2072.59	2072.59	2074.81	2079.12	2076.21	30	30
2017-01-31 13:15:00	2074.65	2074.95	2073.79	2074.08	2074.91	2079.26	2076.18	30	30
2017-01-31 13:10:00	2074.42	2074.64	2073.64	2073.89	2074.96	2079.37	2076.14	30	30
2017-01-31 13:05:00	2074.70	2074.70	2073.80	2074.18	2075.01	2079.48	2076.10	30	30
2017-01-31 13:00:00	2074.56	2074.89	2073.74	2074.07	2075.02	2079.59	2076.06	30	30
2017-01-31 12:55:00	2074.96	2075.32	2073.82	2074.23	2075.06	2079.71	2076.02	30	30
2017-01-31 12:50:00	2074.40	2074.98	2073.85	2074.11	2075.12	2079.82	2075.97	30	30
2017-01-31 12:45:00	2074.07	2074.96	2073.82	2074.40	2075.17	2079.93	2075.93	30	30
2017-01-31 12:40:00	2074.80	2075.24	2073.97	2074.90	2075.25	2080.04	2075.90	30	30
2017-01-31 12:35:00	2074.35	2074.99	2073.81	2074.87	2075.30	2080.15	2075.85	30	30
2017-01-31 12:30:00	2073.66	2073.97	2072.87	2073.32	2075.26	2080.26	2075.81	30	30
2017-01-31 12:25:00	2073.70	2074.55	2073.28	2073.28	2075.26	2080.38	2075.78	30	30
2017-01-31 12:20:00	2074.33	2074.86	2073.53	2074.05	2075.31	2080.50	2075.76	30	30
2017-01-31 12:15:00	2074.92	2075.03	2073.65	2073.65	2075.38	2080.62	2075.73	30	30
2017-01-31 12:10:00	2074.89	2075.23	2073.80	2075.10	2075.47	2080.74	2075.72	30	30
2017-01-31 12:05:00	2073.10	2073.98	2072.50	2073.57	2075.50	2080.84	2075.70	30	30
2017-01-31 12:00:00	2072.99	2073.62	2072.36	2072.67	2075.70	2080.96	2075.69	30	30
2017-01-31 11:55:00	2072.51	2073.18	2071.45	2072.65	2075.98	2081.09	2075.68	30	30
2017-01-31 11:50:00	2072.12	2072.55	2071.17	2072.38	2076.27	2081.21	2075.67	30	30
2017-01-31 11:45:00	2072.52	2073.02	2071.61	2071.94	2076.56	2081.32	2075.67	30	30
2017-01-31 11:40:00	2072.92	2073.64	2072.33	2072.34	2076.85	2081.42	2075.67	30	30
2017-01-31 11:35:00	2072.94	2073.49	2072.20	2072.82	2077.10	2081.50	2075.68	30	30
2017-01-31 11:30:00	2072.10	2073.37	2071.84	2072.87	2077.36	2081.59	2075.70	30	30
2017-01-31 11:25:00	2071.92	2072.56	2071.50	2072.34	2077.62	2081.67	2075.71	30	30
2017-01-31 11:20:00	2072.72	2072.72	2071.11	2071.75	2077.91	2081.76	2075.68	30	30
2017-01-31 11:15:00	2073.14	2073.72	2072.28	2073.27	2078.20	2081.86	2075.64	30	30
2017-01-31 11:10:00	2073.12	2074.09	2072.55	2073.65	2078.46	2081.93	2075.59	30	30
2017-01-31 11:05:00	2073.10	2073.55	2072.11	2072.88	2078.70	2082.00	2075.54	30	30
2017-01-31 11:00:00	2073.49	2074.05	2072.24	2072.85	2078.96	2082.10	2075.49	30	30
2017-01-31 10:55:00	2073.69	2074.83	2073.20	2074.01	2079.23	2082.19	2075.44	30	30
2017-01-31 10:50:00	2074.54	2074.81	2073.32	2074.04	2079.48	2082.25	2075.39	30	30
2017-01-31 10:45:00	2074.78	2075.49	2074.04	2074.59	2079.74	2082.31	2075.33	30	30
2017-01-31 10:40:00	2074.79	2075.54	2074.37	2075.24	2079.98	2082.37	2075.27	30	30
2017-01-31 10:35:00	2074.70	2075.74	2074.33	2075.21	2080.22	2082.42	2075.21	30	30
2017-01-31 10:30:00	2075.61	2076.44	2074.79	2074.79	2080.45	2082.45	2075.15	30	30
2017-01-31 10:25:00	2075.72	2076.60	2075.12	2075.61	2080.70	2082.48	2075.09	30	30
2017-01-31 10:20:00	2077.23	2077.92	2075.31	2075.31	2080.94	2082.43	2075.02	30	30
2017-01-31 10:15:00	2078.55	2078.64	2076.92	2077.60	2081.17	2082.39	2074.96	30	30
2017-01-31 10:10:00	2077.59	2079.13	2077.16	2078.27	2081.37	2082.32	2074.89	30	30
2017-01-31 10:05:00	2078.43	2079.47	2077.11	2077.11	2081.55	2082.23	2074.81	30	30
2017-01-31 10:00:00	2078.17	2078.96	2077.48	2078.44	2081.76	2082.16	2074.73	30	30
2017-01-31 09:55:00	2078.02	2079.09	2077.31	2078.29	2081.92	2082.07	2074.65	30	30
2017-01-31 09:50:00	2078.69	2079.97	2077.67	2078.20	2082.08	2081.98	2074.57	30	30
2017-01-31 09:45:00	2078.56	2079.63	2078.02	2078.75	2082.24	2081.91	2074.50	30	30
2017-01-31 09:40:00	2077.26	2079.03	2077.26	2078.59	2082.39	2081.88	2074.42	30	30
2017-01-31 09:35:00	2077.67	2078.54	2077.05	2077.73	2082.55	2081.76	2074.34	30	30
2017-01-31 09:30:00	2078.81	2079.13	2076.93	2077.35	2082.73	2081.68	2074.27	30	30
2017-01-31 09:25:00	2077.74	2079.12	2077.46	2077.46	2082.91	2081.59	2074.20	30	30
2017-01-31 09:20:00	2077.86	2077.86	2076.17	2077.33	2083.07	2081.51	2074.13	30	30
2017-01-31 09:15:00	2077.69	2078.71	2076.94	2077.85	2083.26	2081.41	2074.06	30	30
2017-01-31 09:10:00	2076.58	2078.28	2076.48	2077.53	2083.43	2081.31	2073.98	30	30
2017-01-31 09:05:00	2075.93	2076.97	2075.87	2076.79	2083.60	2081.21	2073.90	30	28
2017-01-31 09:00:00	2075.46	2076.57	2074.99	2076.18	2083.77	2081.11	2073.83	30	28
2017-01-31 08:55:00	2076.37	2076.37	2074.33	2074.96	2083.95	2081.02	2073.76	30	28
2017-01-31 08:50:00	2076.77	2077.34	2075.88	2075.94	2084.16	2080.95	2073.69	30	28
2017-01-31 08:45:00	2076.00	2077.05	2075.75	2077.05	2084.35	2080.87	2073.62	30	28
2017-01-31 08:40:00	2077.50	2077.50	2076.24	2076.63	2084.53	2080.77	2073.55	30	28
2017-01-31 08:35:00	2077.27	2078.53	2076.17	2078.53	2084.69	2080.68	2073.48	30	28
2017-01-31 08:30:00	2073.88	2078.27	2073.41	2077.39	2084.83	2080.56	2073.40	30	28
2017-01-31 08:25:00	2074.15	2074.59	2072.61	2072.70	2085.00	2080.44	2073.33	30	28
