Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-08-31 14:30:00	2360.57	2363.72	2360.57	2363.19	2362.65	2365.40	2363.09	16	29
2017-08-31 14:25:00	2360.12	2360.12	2360.12	2360.12	2362.68	2365.43	2362.99	30	30
2017-08-31 14:20:00	2360.12	2360.12	2360.12	2360.12	2362.77	2365.49	2362.90	30	30
2017-08-31 14:15:00	2359.13	2360.55	2358.57	2360.12	2362.85	2365.54	2362.81	30	30
2017-08-31 14:10:00	2357.92	2359.54	2357.53	2359.27	2362.93	2365.60	2362.73	30	30
2017-08-31 14:05:00	2356.76	2359.34	2356.47	2358.59	2363.03	2365.67	2362.65	30	30
2017-08-31 14:00:00	2356.75	2357.52	2355.29	2356.61	2363.14	2365.75	2362.57	30	30
2017-08-31 13:55:00	2356.24	2357.67	2355.61	2355.61	2363.28	2365.85	2362.49	30	30
2017-08-31 13:50:00	2358.45	2358.45	2355.59	2356.93	2363.52	2365.96	2362.41	30	30
2017-08-31 13:45:00	2361.00	2361.02	2358.46	2358.46	2363.77	2366.06	2362.32	30	30
2017-08-31 13:40:00	2360.93	2361.40	2359.88	2360.17	2364.00	2366.14	2362.22	30	30
2017-08-31 13:35:00	2362.05	2362.11	2359.89	2360.53	2364.20	2366.20	2362.10	30	30
2017-08-31 13:30:00	2362.50	2363.18	2361.62	2361.62	2364.39	2366.26	2361.97	30	30
2017-08-31 13:25:00	2362.93	2363.44	2362.12	2362.70	2364.54	2366.30	2361.86	30	30
2017-08-31 13:20:00	2363.59	2363.82	2362.39	2362.84	2364.68	2366.34	2361.74	30	30
2017-08-31 13:15:00	2362.64	2363.74	2362.52	2363.62	2364.79	2366.37	2361.63	30	30
2017-08-31 13:10:00	2361.87	2363.51	2361.87	2362.91	2364.93	2366.39	2361.52	30	30
2017-08-31 13:05:00	2363.77	2364.02	2362.10	2362.15	2365.07	2366.43	2361.42	30	30
2017-08-31 13:00:00	2363.53	2364.06	2362.86	2363.28	2365.24	2366.48	2361.33	30	30
2017-08-31 12:55:00	2363.75	2364.52	2363.04	2363.04	2365.39	2366.51	2361.24	30	30
2017-08-31 12:50:00	2364.20	2364.80	2363.27	2363.97	2365.51	2366.54	2361.16	30	30
2017-08-31 12:45:00	2363.32	2364.43	2363.19	2364.04	2365.61	2366.57	2361.08	30	30
2017-08-31 12:40:00	2363.02	2364.52	2362.87	2363.45	2365.72	2366.60	2360.99	30	30
2017-08-31 12:35:00	2364.24	2364.24	2362.92	2363.27	2365.83	2366.63	2360.91	30	30
2017-08-31 12:30:00	2363.67	2364.73	2362.81	2364.10	2365.95	2366.67	2360.84	30	30
2017-08-31 12:25:00	2364.25	2364.71	2363.37	2364.04	2366.05	2366.69	2360.77	30	30
2017-08-31 12:20:00	2362.45	2364.88	2362.28	2364.36	2366.21	2366.71	2360.70	30	30
2017-08-31 12:15:00	2362.63	2363.55	2362.15	2362.71	2366.37	2366.73	2360.63	30	30
2017-08-31 12:10:00	2362.28	2363.10	2361.56	2362.97	2366.61	2366.76	2360.55	30	30
2017-08-31 12:05:00	2362.91	2363.47	2362.21	2362.78	2366.87	2366.80	2360.47	30	30
2017-08-31 12:00:00	2363.21	2363.47	2362.57	2362.81	2367.06	2366.82	2360.39	30	30
2017-08-31 11:55:00	2363.65	2363.65	2362.39	2362.90	2367.20	2366.86	2360.31	30	30
2017-08-31 11:50:00	2363.94	2364.17	2362.88	2362.88	2367.34	2366.89	2360.24	30	30
2017-08-31 11:45:00	2363.52	2364.33	2363.12	2363.89	2367.48	2366.93	2360.16	30	30
2017-08-31 11:40:00	2363.71	2364.84	2363.12	2363.43	2367.56	2366.96	2360.09	30	30
2017-08-31 11:35:00	2362.56	2364.57	2362.56	2364.23	2367.65	2366.99	2360.07	30	30
2017-08-31 11:30:00	2363.46	2364.10	2362.83	2363.45	2367.67	2367.03	2360.04	30	30
2017-08-31 11:25:00	2363.85	2364.36	2363.15	2363.45	2367.75	2367.06	2360.02	30	30
2017-08-31 11:20:00	2364.32	2364.97	2363.48	2363.63	2367.80	2367.10	2360.05	30	30
2017-08-31 11:15:00	2364.19	2365.26	2364.01	2364.57	2367.85	2367.14	2360.08	30	30
2017-08-31 11:10:00	2364.75	2365.42	2363.56	2364.55	2367.90	2367.17	2360.11	30	30
2017-08-31 11:05:00	2364.47	2365.00	2363.88	2364.78	2367.95	2367.19	2360.13	30	30
2017-08-31 11:00:00	2364.35	2364.97	2363.69	2364.44	2367.98	2367.21	2360.15	30	30
2017-08-31 10:55:00	2364.67	2365.04	2363.60	2364.66	2368.01	2367.22	2360.16	30	30
2017-08-31 10:50:00	2365.03	2365.04	2363.50	2364.54	2368.05	2367.22	2360.18	30	30
2017-08-31 10:45:00	2364.92	2365.51	2364.20	2364.89	2368.08	2367.22	2360.20	30	30
2017-08-31 10:40:00	2364.04	2365.59	2364.04	2364.82	2368.10	2367.25	2360.22	30	30
2017-08-31 10:35:00	2366.30	2366.30	2364.59	2364.89	2368.12	2367.27	2360.23	30	30
2017-08-31 10:30:00	2366.23	2366.69	2365.07	2365.73	2368.15	2367.32	2360.24	30	30
2017-08-31 10:25:00	2364.92	2366.33	2364.55	2366.33	2368.16	2367.34	2360.25	30	30
2017-08-31 10:20:00	2365.03	2365.46	2363.84	2364.87	2368.16	2367.33	2360.26	30	30
2017-08-31 10:15:00	2364.88	2365.82	2363.76	2364.38	2368.18	2367.34	2360.27	30	30
2017-08-31 10:10:00	2364.43	2365.29	2364.14	2364.46	2368.21	2367.34	2360.28	30	30
2017-08-31 10:05:00	2364.47	2364.92	2363.80	2364.05	2368.23	2367.35	2360.30	30	30
2017-08-31 10:00:00	2364.74	2365.50	2363.89	2364.21	2368.26	2367.36	2360.31	30	30
2017-08-31 09:55:00	2363.11	2364.82	2363.11	2364.00	2368.30	2367.38	2360.33	30	30
2017-08-31 09:50:00	2367.23	2367.38	2363.39	2363.75	2368.36	2367.39	2360.35	30	30
2017-08-31 09:45:00	2369.14	2369.28	2367.18	2367.28	2368.42	2367.43	2360.37	30	30
2017-08-31 09:40:00	2370.56	2370.56	2368.91	2369.45	2368.40	2367.42	2360.37	30	30
2017-08-31 09:35:00	2370.70	2370.90	2369.51	2370.10	2368.35	2367.38	2360.36	30	30
2017-08-31 09:30:00	2369.91	2371.11	2368.97	2370.31	2368.28	2367.29	2360.35	30	30
2017-08-31 09:25:00	2368.66	2370.47	2368.29	2369.86	2368.21	2367.19	2360.35	30	30
2017-08-31 09:20:00	2369.62	2370.26	2368.42	2368.97	2368.13	2367.11	2360.34	30	30
2017-08-31 09:15:00	2368.58	2370.64	2368.19	2369.91	2368.06	2367.02	2360.34	30	30
