Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	S&P 500 Index - #Ticks	SMAVG (15)
2017-01-31 23:10:00	2270.94	2271.14	2269.80	2270.74	2274.79	2276.19	2285.44	300	300
2017-01-31 23:05:00	2269.15	2271.73	2269.08	2271.00	2274.83	2276.41	2285.57	300	300
2017-01-31 23:00:00	2272.90	2273.24	2269.08	2269.14	2274.86	2276.63	2285.70	300	300
2017-01-31 22:55:00	2272.07	2272.95	2271.77	2272.95	2274.94	2276.87	2285.84	300	300
2017-01-31 22:50:00	2274.96	2275.18	2272.10	2272.10	2274.94	2277.07	2285.95	300	300
2017-01-31 22:45:00	2274.63	2275.15	2273.13	2275.06	2274.99	2277.28	2286.06	300	300
2017-01-31 22:40:00	2275.41	2275.50	2273.93	2274.74	2274.98	2277.47	2286.16	300	300
2017-01-31 22:35:00	2274.53	2276.49	2274.53	2275.32	2274.98	2277.65	2286.26	300	300
2017-01-31 22:30:00	2274.02	2275.39	2273.69	2274.53	2274.96	2277.83	2286.37	300	300
2017-01-31 05:10:00	2280.90	2280.90	2280.90	2280.90	2274.96	2278.02	2286.48	300	300
2017-01-31 05:05:00	2280.90	2280.90	2280.90	2280.90	2274.83	2278.14	2286.56	300	300
2017-01-31 05:00:00	2280.49	2280.90	2280.49	2280.90	2274.72	2278.27	2286.64	300	300
2017-01-31 04:55:00	2279.89	2281.29	2279.89	2280.40	2274.58	2278.39	2286.72	300	300
2017-01-31 04:50:00	2279.01	2280.38	2279.00	2279.66	2274.47	2278.52	2286.80	300	300
2017-01-31 04:45:00	2277.34	2278.91	2277.34	2278.76	2274.35	2278.65	2286.88	300	300
2017-01-31 04:40:00	2275.43	2277.24	2274.95	2277.20	2274.26	2278.80	2286.97	300	300
2017-01-31 04:35:00	2276.45	2276.45	2275.43	2275.43	2274.14	2278.96	2287.07	300	300
2017-01-31 04:30:00	2275.07	2276.68	2275.07	2276.51	2274.06	2279.14	2287.17	300	300
2017-01-31 04:25:00	2274.50	2275.07	2274.41	2275.02	2273.98	2279.30	2287.27	300	300
2017-01-31 04:20:00	2274.76	2275.24	2274.40	2274.49	2273.94	2279.48	2287.39	300	300
2017-01-31 04:15:00	2274.67	2274.79	2273.88	2274.76	2273.91	2279.68	2287.50	300	300
2017-01-31 04:10:00	2274.85	2275.06	2274.62	2274.66	2273.85	2279.87	2287.62	300	300
2017-01-31 04:05:00	2275.01	2275.42	2274.16	2274.86	2273.74	2280.06	2287.73	300	300
2017-01-31 04:00:00	2276.76	2276.76	2274.87	2274.93	2273.64	2280.25	2287.84	300	300
2017-01-31 03:55:00	2275.75	2276.73	2275.75	2276.73	2273.51	2280.44	2287.95	300	300
