Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Nikkei 225 - #Ticks	SMAVG (15)
2017-02-28 14:15:00	19118.99	19118.99	19118.99	19118.99	19221.84	19188.31	19213.93	1	17
2017-02-28 14:00:00	19118.99	19118.99	19118.99	19118.99	19223.93	19187.71	19214.96	1	19
2017-02-28 13:55:00	19152.37	19152.37	19119.32	19119.32	19226.06	19187.00	19215.96	20	20
2017-02-28 13:50:00	19160.26	19160.26	19136.86	19138.86	19227.92	19186.20	19216.94	20	20
2017-02-28 13:45:00	19174.90	19182.47	19161.47	19167.71	19229.10	19185.18	19217.82	20	20
2017-02-28 13:40:00	19199.59	19199.59	19164.93	19164.93	19230.75	19183.96	19218.53	20	20
2017-02-28 13:35:00	19194.78	19202.36	19187.51	19202.36	19232.19	19182.89	19219.31	20	20
2017-02-28 13:30:00	19218.50	19220.04	19195.65	19196.00	19233.29	19181.25	19219.95	20	20
2017-02-28 13:25:00	19217.06	19227.55	19213.81	19219.95	19234.27	19179.49	19220.66	20	20
2017-02-28 13:20:00	19216.30	19221.05	19213.90	19216.15	19234.95	19177.28	19221.31	20	20
2017-02-28 13:15:00	19217.53	19224.04	19216.36	19217.02	19235.99	19175.36	19221.95	20	20
2017-02-28 13:10:00	19222.89	19227.17	19219.09	19219.09	19236.65	19173.44	19222.55	20	20
2017-02-28 13:05:00	19235.95	19237.71	19221.59	19221.59	19237.37	19171.42	19223.13	20	20
2017-02-28 13:00:00	19221.35	19233.93	19221.35	19233.93	19237.43	19169.39	19223.69	20	20
2017-02-28 12:55:00	19222.51	19224.09	19220.85	19221.00	19237.35	19167.16	19224.17	20	20
2017-02-28 12:50:00	19230.66	19230.88	19225.09	19225.09	19235.08	19165.52	19224.72	20	20
2017-02-28 12:45:00	19230.49	19233.48	19228.69	19230.33	19232.73	19164.19	19225.24	20	20
2017-02-28 12:40:00	19229.95	19231.71	19226.54	19226.54	19230.34	19163.02	19225.75	20	20
2017-02-28 12:35:00	19232.01	19232.79	19229.75	19229.75	19227.75	19161.76	19226.29	20	19
2017-02-28 12:30:00	19231.01	19238.30	19230.37	19233.00	19225.23	19160.43	19226.81	20	17
2017-02-28 12:25:00	19231.33	19231.84	19228.43	19230.82	19223.09	19159.19	19227.24	20	17
2017-02-28 12:20:00	19232.53	19233.29	19230.35	19231.86	19220.69	19158.14	19227.70	20	17
2017-02-28 12:15:00	19245.63	19245.63	19238.40	19238.61	19217.87	19157.14	19228.13	20	17
2017-02-28 12:10:00	19250.10	19251.38	19245.64	19245.64	19215.15	19156.03	19228.55	20	17
2017-02-28 12:05:00	19258.20	19258.20	19250.88	19251.15	19212.53	19154.76	19228.99	20	17
2017-02-28 12:00:00	19248.12	19258.33	19248.12	19258.12	19210.07	19153.17	19229.29	20	17
2017-02-28 11:55:00	19254.09	19257.40	19244.92	19245.29	19207.59	19151.82	19229.56	20	17
2017-02-28 11:50:00	19248.01	19255.05	19248.01	19255.05	19205.22	19150.79	19229.90	20	17
2017-02-28 11:45:00	19231.03	19256.70	19229.18	19248.95	19202.71	19149.42	19230.21	20	17
2017-02-28 11:40:00	19240.92	19245.91	19225.86	19232.15	19200.16	19149.76	19230.48	20	17
2017-02-28 11:35:00	19240.17	19246.05	19238.73	19241.68	19197.97	19150.28	19230.83	20	17
2017-02-28 11:30:00	19249.40	19250.39	19237.08	19237.32	19195.71	19150.68	19231.16	20	17
2017-02-28 10:35:00	19238.74	19238.74	19238.74	19238.74	19193.51	19151.01	19231.57	1	17
