Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Nikkei 225 - #Ticks	SMAVG (15)
2017-11-30 14:15:00	22724.96	22724.96	22724.96	22724.96	22628.44	22595.97	22548.23	1	52
2017-11-30 14:00:00	22724.96	22724.96	22724.96	22724.96	22625.73	22594.69	22546.97	1	56
2017-11-30 13:55:00	22724.79	22737.64	22720.87	22733.76	22622.56	22593.23	22545.67	60	60
2017-11-30 13:50:00	22735.71	22738.01	22725.18	22725.18	22618.61	22591.65	22544.29	60	60
2017-11-30 13:45:00	22735.88	22748.32	22720.80	22738.62	22615.38	22590.16	22542.94	60	60
2017-11-30 13:40:00	22736.26	22739.53	22728.98	22736.82	22612.03	22588.56	22541.46	60	60
2017-11-30 13:35:00	22734.59	22738.75	22726.19	22738.75	22608.62	22587.20	22540.00	60	60
2017-11-30 13:30:00	22707.03	22733.43	22707.03	22733.43	22605.07	22585.88	22538.43	60	60
2017-11-30 13:25:00	22706.61	22715.27	22701.81	22711.04	22601.43	22584.46	22536.92	60	60
2017-11-30 13:20:00	22707.05	22708.27	22692.59	22706.36	22598.52	22583.33	22535.67	60	60
2017-11-30 13:15:00	22704.71	22721.71	22700.05	22708.78	22595.54	22582.34	22534.55	60	60
2017-11-30 13:10:00	22721.60	22722.00	22705.36	22705.36	22592.09	22581.44	22533.40	60	60
2017-11-30 13:05:00	22676.79	22723.45	22676.79	22721.75	22588.79	22580.60	22532.31	60	60
2017-11-30 13:00:00	22643.60	22678.58	22643.60	22677.74	22584.91	22579.37	22531.18	60	60
2017-11-30 12:55:00	22651.04	22654.53	22643.80	22643.80	22583.17	22578.57	22530.19	60	60
2017-11-30 12:50:00	22618.54	22655.54	22615.98	22651.83	22582.24	22578.25	22529.38	60	60
2017-11-30 12:45:00	22617.36	22619.16	22615.49	22618.03	22581.14	22577.68	22528.63	60	60
2017-11-30 12:40:00	22599.02	22618.59	22595.82	22617.17	22580.74	22577.07	22527.99	60	60
2017-11-30 12:35:00	22609.14	22609.41	22598.91	22599.44	22580.06	22576.56	22527.30	60	56
2017-11-30 12:30:00	22603.46	22609.10	22603.27	22608.64	22579.34	22576.16	22526.71	60	52
2017-11-30 12:25:00	22609.57	22612.18	22599.49	22604.77	22578.22	22575.56	22526.15	60	52
2017-11-30 12:20:00	22597.88	22609.66	22597.49	22609.60	22577.49	22575.36	22525.65	60	52
