Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Nikkei 225 - #Ticks	SMAVG (15)
2017-12-29 14:15:00	22764.94	22764.94	22764.94	22764.94	22813.76	22842.68	22875.64	1	52
2017-12-29 14:00:00	22764.94	22764.94	22764.94	22764.94	22815.03	22844.51	22876.29	1	56
2017-12-29 13:55:00	22760.55	22772.51	22758.91	22764.78	22816.36	22846.24	22876.96	60	60
2017-12-29 13:50:00	22774.47	22774.47	22758.79	22759.42	22817.69	22847.95	22877.60	60	60
2017-12-29 13:45:00	22765.02	22778.76	22765.00	22773.10	22819.17	22849.67	22878.26	60	60
2017-12-29 13:40:00	22763.53	22770.92	22754.53	22765.51	22820.33	22851.28	22878.83	60	60
2017-12-29 13:35:00	22772.48	22773.13	22760.03	22763.00	22821.74	22852.89	22879.45	60	60
2017-12-29 13:30:00	22793.25	22794.73	22753.20	22771.94	22823.17	22854.52	22880.13	60	60
2017-12-29 13:25:00	22792.82	22793.93	22788.11	22792.54	22824.60	22856.01	22880.73	60	60
2017-12-29 13:20:00	22800.01	22807.90	22793.23	22793.23	22825.67	22857.26	22881.24	60	60
2017-12-29 13:15:00	22791.13	22800.30	22787.45	22800.30	22826.60	22858.52	22881.76	60	60
2017-12-29 13:10:00	22788.28	22793.65	22787.35	22790.15	22827.71	22859.74	22882.31	60	60
2017-12-29 13:05:00	22789.18	22792.57	22788.05	22788.17	22829.05	22861.06	22882.91	60	60
2017-12-29 13:00:00	22789.00	22791.97	22788.31	22789.47	22829.94	22862.35	22883.52	60	60
2017-12-29 12:55:00	22795.45	22795.84	22788.83	22788.84	22830.70	22863.64	22884.12	60	60
2017-12-29 12:50:00	22808.20	22808.20	22791.18	22795.98	22830.60	22864.92	22884.73	60	60
2017-12-29 12:45:00	22811.78	22811.78	22807.12	22808.77	22830.36	22866.21	22885.31	60	60
2017-12-29 12:40:00	22812.58	22813.14	22808.64	22811.70	22829.78	22867.31	22885.85	60	60
2017-12-29 12:35:00	22817.99	22818.69	22811.70	22812.26	22828.83	22868.46	22886.36	60	56
2017-12-29 12:30:00	22807.42	22820.60	22807.42	22818.12	22827.66	22869.35	22886.85	60	52
2017-12-29 12:25:00	22810.25	22810.25	22807.54	22807.54	22827.13	22870.14	22887.31	60	52
2017-12-29 12:20:00	22799.33	22812.90	22799.33	22810.07	22826.77	22871.10	22887.82	60	52
2017-12-29 12:15:00	22808.05	22809.21	22790.06	22799.53	22826.31	22872.07	22888.29	60	52
2017-12-29 12:10:00	22823.90	22823.90	22807.64	22807.93	22826.97	22873.18	22888.84	60	52
2017-12-29 12:05:00	22847.10	22847.11	22823.90	22823.90	22827.82	22874.19	22889.41	60	52
2017-12-29 12:00:00	22860.60	22861.30	22845.15	22846.51	22828.92	22874.97	22889.98	60	52
2017-12-29 11:55:00	22870.91	22871.11	22857.98	22858.45	22829.85	22875.62	22890.44	60	52
2017-12-29 11:50:00	22876.23	22879.03	22870.92	22871.31	22830.65	22876.20	22890.80	60	52
2017-12-29 11:45:00	22837.37	22881.21	22836.66	22876.31	22831.23	22876.66	22891.07	60	52
2017-12-29 11:40:00	22847.63	22847.95	22833.75	22836.88	22831.55	22877.01	22891.31	60	52
2017-12-29 11:35:00	22838.51	22848.54	22829.01	22847.84	22832.76	22877.76	22891.72	60	52
2017-12-29 11:30:00	22847.05	22847.05	22837.45	22838.70	22833.87	22878.38	22892.08	60	52
2017-12-29 10:35:00	22841.64	22841.64	22841.64	22841.64	22835.32	22879.06	22892.50	1	52
2017-12-29 10:30:00	22841.64	22841.64	22841.64	22841.64	22836.52	22879.76	22892.89	1	56
2017-12-29 10:25:00	22844.65	22846.57	22839.61	22842.46	22837.77	22880.42	22893.29	60	60
2017-12-29 10:20:00	22831.69	22845.65	22831.41	22844.20	22839.15	22881.02	22893.66	60	60
2017-12-29 10:15:00	22827.63	22831.49	22824.84	22831.49	22840.41	22881.60	22894.03	60	60
2017-12-29 10:10:00	22821.31	22829.08	22821.28	22826.77	22842.22	22882.32	22894.44	60	60
2017-12-29 10:05:00	22820.14	22821.53	22819.98	22820.98	22844.23	22883.17	22894.87	60	60
