Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Nikkei 225 - #Ticks	SMAVG (15)
2017-06-30 14:15:00	20033.43	20033.43	20033.43	20033.43	19988.27	20075.28	20133.42	1	17
2017-06-30 14:00:00	20033.43	20033.43	20033.43	20033.43	19986.74	20077.29	20134.40	1	19
2017-06-30 13:55:00	20012.07	20033.87	20002.51	20033.87	19985.62	20079.26	20135.36	20	20
2017-06-30 13:50:00	19999.97	20009.53	19999.55	20009.53	19984.38	20081.27	20136.27	20	20
2017-06-30 13:45:00	19995.37	19998.83	19993.88	19998.83	19983.46	20083.49	20137.29	20	20
2017-06-30 13:40:00	19973.10	19994.02	19972.23	19994.02	19983.15	20085.91	20138.38	20	20
2017-06-30 13:35:00	19975.98	19980.27	19971.11	19971.11	19983.23	20088.32	20139.48	20	20
2017-06-30 13:30:00	19973.24	19983.06	19970.34	19983.06	19983.77	20090.89	20140.72	20	20
2017-06-30 13:25:00	19963.66	19972.11	19963.66	19972.11	19984.01	20093.28	20141.89	20	20
2017-06-30 13:20:00	19969.66	19970.25	19963.00	19963.32	19984.54	20095.61	20143.10	20	20
2017-06-30 13:15:00	19970.53	19972.74	19962.55	19970.13	19985.14	20098.02	20144.37	20	20
2017-06-30 13:10:00	19975.17	19975.34	19970.25	19970.70	19985.86	20100.42	20145.59	20	20
2017-06-30 13:05:00	19976.99	19976.99	19969.05	19974.44	19986.67	20102.77	20146.85	20	20
2017-06-30 13:00:00	19981.19	19982.91	19969.98	19976.60	19987.55	20105.03	20148.09	20	20
2017-06-30 12:55:00	19975.15	19981.92	19975.15	19981.07	19988.31	20107.39	20149.36	20	20
2017-06-30 12:50:00	19983.65	19988.89	19980.80	19980.80	19993.09	20109.78	20150.59	20	20
2017-06-30 12:45:00	19987.78	19987.79	19976.96	19983.62	19997.88	20112.08	20151.78	20	20
2017-06-30 12:40:00	19984.73	19987.40	19981.88	19987.40	20002.54	20114.39	20152.94	20	20
2017-06-30 12:35:00	19971.44	19985.74	19971.44	19985.74	20007.22	20116.85	20154.12	20	19
2017-06-30 12:30:00	19972.29	19977.01	19972.29	19974.50	20011.70	20119.49	20155.30	20	17
2017-06-30 12:25:00	19969.15	19972.58	19959.87	19970.57	20016.75	20122.29	20156.55	20	17
2017-06-30 12:20:00	19973.03	19974.53	19970.55	19972.73	20021.79	20125.04	20157.84	20	17
2017-06-30 12:15:00	19970.84	19978.57	19968.95	19973.11	20026.71	20127.77	20159.09	20	17
2017-06-30 12:10:00	19981.06	19983.80	19970.66	19970.66	20031.63	20130.41	20160.35	20	17
2017-06-30 12:05:00	19980.19	19986.18	19979.43	19981.30	20036.52	20133.12	20161.65	20	17
2017-06-30 12:00:00	19984.41	19984.41	19977.75	19979.40	20041.13	20135.67	20162.81	20	17
2017-06-30 11:55:00	19982.09	19984.81	19978.20	19981.89	20045.67	20138.21	20163.98	20	17
2017-06-30 11:50:00	19992.63	19992.63	19979.52	19982.07	20049.99	20140.82	20165.18	20	17
2017-06-30 11:45:00	20003.22	20004.52	19996.90	19997.59	20054.62	20143.63	20166.42	20	17
2017-06-30 11:40:00	19999.19	20003.58	19991.60	20003.58	20058.93	20144.96	20167.58	20	17
2017-06-30 11:35:00	19998.47	20001.34	19996.88	20000.35	20063.25	20146.22	20168.70	20	17
2017-06-30 11:30:00	19996.01	20008.04	19993.86	19996.01	20067.63	20147.49	20169.82	20	17
2017-06-30 10:35:00	20000.88	20000.88	20000.88	20000.88	20072.18	20148.73	20170.97	1	17
2017-06-30 10:30:00	20000.88	20000.88	20000.88	20000.88	20076.84	20149.96	20172.09	1	19
2017-06-30 10:25:00	19980.14	20001.98	19980.14	19999.75	20081.47	20151.26	20173.22	20	20
2017-06-30 10:20:00	19982.70	19988.27	19979.10	19979.43	20086.21	20152.71	20174.38	20	20
2017-06-30 10:15:00	19975.74	19990.51	19975.74	19983.35	20091.39	20154.30	20175.66	20	20
2017-06-30 10:10:00	19993.45	19993.45	19975.05	19978.50	20096.53	20156.01	20176.93	20	20
2017-06-30 10:05:00	20014.27	20016.92	19997.59	19997.59	20101.72	20157.79	20178.17	20	20
2017-06-30 10:00:00	20018.55	20018.99	20007.56	20014.60	20106.57	20159.34	20179.35	20	20
2017-06-30 09:55:00	20003.35	20019.91	20003.31	20019.91	20110.96	20160.78	20180.39	20	20
2017-06-30 09:50:00	20001.22	20013.42	19996.90	20002.03	20115.32	20162.21	20181.40	20	20
2017-06-30 09:45:00	19993.98	20003.17	19993.98	20003.17	20120.25	20163.83	20182.48	20	20
2017-06-30 09:40:00	19997.33	20006.60	19996.72	20000.03	20125.24	20165.43	20183.54	20	20
2017-06-30 09:35:00	19989.64	19999.98	19985.56	19997.69	20130.19	20167.03	20184.61	20	20
2017-06-30 09:30:00	19978.36	19994.25	19978.36	19989.81	20135.16	20168.65	20185.65	20	20
2017-06-30 09:25:00	19958.28	19971.17	19958.28	19971.17	20140.17	20170.37	20186.72	20	20
2017-06-30 09:20:00	19964.57	19964.57	19955.71	19959.34	20145.52	20172.22	20187.84	20	20
2017-06-30 09:15:00	19957.00	19966.38	19946.51	19965.50	20151.11	20174.18	20189.05	20	20
2017-06-30 09:10:00	19953.31	19964.64	19953.18	19962.78	20156.62	20176.07	20190.26	20	20
2017-06-30 09:05:00	19979.86	19982.23	19957.19	19957.19	20162.30	20178.03	20191.53	20	19
2017-06-30 09:00:00	19967.43	19985.00	19966.19	19977.34	20167.84	20180.04	20192.87	20	17
2017-06-30 08:55:00	19965.18	19971.72	19948.47	19971.72	20172.90	20181.88	20194.11	20	17
2017-06-30 08:50:00	19984.36	19984.36	19963.70	19963.70	20178.15	20183.75	20195.33	20	17
2017-06-30 08:45:00	19994.42	19995.21	19974.89	19983.20	20183.53	20185.72	20196.66	20	17
2017-06-30 08:40:00	19998.61	20003.63	19993.79	19998.23	20188.68	20187.54	20197.87	20	17
2017-06-30 08:35:00	19995.16	19998.78	19993.76	19997.76	20193.40	20189.17	20199.13	20	17
2017-06-30 08:30:00	19996.88	19999.48	19986.89	19995.10	20198.03	20190.84	20199.91	20	17
2017-06-30 08:25:00	19989.33	20005.72	19988.53	19998.62	20202.55	20192.53	20200.70	20	17
2017-06-30 08:20:00	19998.26	19998.26	19981.80	19993.44	20206.68	20194.08	20201.48	20	17
2017-06-30 08:15:00	20008.42	20011.24	19990.90	20006.03	20210.89	20195.69	20202.35	20	17
2017-06-30 08:10:00	20014.42	20018.70	19995.55	20011.26	20214.99	20197.29	20203.14	20	17
2017-06-30 08:05:00	20024.43	20038.12	20012.34	20018.67	20218.86	20198.84	20203.87	20	17
2017-06-30 08:00:00	20025.63	20044.01	20014.37	20014.37	20222.50	20200.32	20204.56	20	17
2017-06-29 14:15:00	20220.30	20220.30	20220.30	20220.30	20226.48	20201.80	20205.27	1	17
2017-06-29 14:00:00	20220.30	20220.30	20220.30	20220.30	20226.46	20201.23	20204.91	1	19
2017-06-29 13:55:00	20221.70	20227.15	20216.44	20216.44	20226.28	20200.81	20204.61	20	20
2017-06-29 13:50:00	20208.61	20221.70	20207.83	20221.70	20226.25	20200.64	20204.32	20	20
2017-06-29 13:45:00	20226.44	20226.44	20208.80	20209.56	20226.47	20200.46	20203.99	20	20
2017-06-29 13:40:00	20221.53	20226.85	20220.38	20226.85	20227.29	20200.44	20203.73	20	20
2017-06-29 13:35:00	20219.13	20222.74	20219.13	20222.42	20227.82	20200.18	20203.40	20	20
2017-06-29 13:30:00	20219.23	20219.23	20216.27	20219.09	20228.29	20199.97	20203.08	20	20
2017-06-29 13:25:00	20215.31	20219.22	20214.88	20218.67	20228.82	20199.79	20202.77	20	20
2017-06-29 13:20:00	20212.08	20218.16	20210.94	20215.24	20229.20	20199.63	20202.46	20	20
2017-06-29 13:15:00	20207.24	20213.47	20207.06	20211.81	20229.73	20199.59	20202.16	20	20
2017-06-29 13:10:00	20197.38	20209.59	20197.38	20206.39	20230.21	20199.66	20201.86	20	20
2017-06-29 13:05:00	20214.48	20214.88	20197.50	20197.90	20230.74	20199.82	20201.59	20	20
2017-06-29 13:00:00	20212.50	20217.01	20212.18	20213.94	20231.66	20200.06	20201.39	20	20
2017-06-29 12:55:00	20220.04	20220.04	20212.68	20212.93	20232.63	20199.94	20201.09	20	20
2017-06-29 12:50:00	20220.14	20221.31	20214.75	20219.61	20230.98	20199.81	20200.80	20	20
2017-06-29 12:45:00	20224.36	20224.95	20219.03	20219.03	20229.20	20199.52	20200.49	20	20
2017-06-29 12:40:00	20234.02	20235.17	20222.65	20223.91	20227.35	20199.26	20200.17	20	20
2017-06-29 12:35:00	20233.54	20236.65	20233.54	20233.92	20225.28	20198.88	20199.81	20	19
2017-06-29 12:30:00	20236.51	20237.07	20232.32	20232.32	20223.07	20198.38	20199.42	20	17
2017-06-29 12:25:00	20237.70	20238.62	20236.65	20236.74	20221.05	20197.91	20199.04	20	17
2017-06-29 12:20:00	20240.48	20243.50	20238.29	20238.29	20219.20	20197.25	20198.65	20	17
2017-06-29 12:15:00	20238.16	20241.36	20237.72	20240.38	20217.21	20196.62	20198.24	20	17
2017-06-29 12:10:00	20239.69	20240.38	20238.23	20238.26	20215.49	20195.92	20197.82	20	17
